,number,value,datetime_start,datetime_complete,duration,params_NF,params_coef,params_lr,state
0,0,7.195120644293411,2024-04-16 23:20:17.651766,2024-04-16 23:21:59.535366,0 days 00:01:41.883600,1536,0.23421378652858132,0.05369682781655628,COMPLETE
1,1,5.592615568546806,2024-04-16 23:21:59.537366,2024-04-16 23:23:40.668696,0 days 00:01:41.131330,1024,0.44473482534099046,0.0011027081004435703,COMPLETE
2,2,7.896822211659937,2024-04-16 23:23:40.670697,2024-04-16 23:25:38.090660,0 days 00:01:57.419963,2048,0.11627007540060436,0.04850374925403964,COMPLETE
3,3,3.805062861858617,2024-04-16 23:25:38.092658,2024-04-16 23:27:21.584868,0 days 00:01:43.492210,1536,0.6345790560170365,0.030053904725008195,COMPLETE
4,4,3.601316089834703,2024-04-16 23:27:21.586863,2024-04-16 23:28:59.514511,0 days 00:01:37.927648,1024,0.7336777488007937,0.022125046512209454,COMPLETE
5,5,3.8698781694958786,2024-04-16 23:28:59.515510,2024-04-16 23:30:56.884270,0 days 00:01:57.368760,2048,0.8848251741024097,0.1,COMPLETE
6,6,2.493242610704267,2024-04-16 23:30:56.886267,2024-04-16 23:32:52.658867,0 days 00:01:55.772600,2048,0.8393175018773973,0.0010000000000000002,COMPLETE
7,7,2.1585337953227457,2024-04-16 23:32:52.660863,2024-04-16 23:34:47.991853,0 days 00:01:55.330990,2048,0.95,0.0010000000000000002,COMPLETE
8,8,2.5313112769846433,2024-04-16 23:34:47.993856,2024-04-16 23:36:24.805078,0 days 00:01:36.811222,1024,0.95,0.0010000000000000002,COMPLETE
9,9,2.152285833780538,2024-04-16 23:36:24.806077,2024-04-16 23:38:19.538265,0 days 00:01:54.732188,2048,0.95,0.0010000000000000002,COMPLETE
10,10,2.085282991463852,2024-04-16 23:38:19.540267,2024-04-16 23:40:13.328199,0 days 00:01:53.787932,2048,0.95,0.002297923340729588,COMPLETE
11,11,2.0052413098604642,2024-04-16 23:40:13.329197,2024-04-16 23:42:06.700742,0 days 00:01:53.371545,2048,0.95,0.001855242674909651,COMPLETE
12,12,1.8791981691819466,2024-04-16 23:42:06.701743,2024-04-16 23:44:03.665196,0 days 00:01:56.963453,2048,0.95,0.0016038262101608649,COMPLETE
13,13,1.7586076562703112,2024-04-16 23:44:03.667191,2024-04-16 23:46:01.939989,0 days 00:01:58.272798,2048,0.95,0.006654107109674669,COMPLETE
14,14,1.3936851922870301,2024-04-16 23:46:01.941986,2024-04-16 23:47:39.819369,0 days 00:01:37.877383,1024,0.95,0.005143664607066486,COMPLETE
