,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_N_I,params_N_LB,params_N_RB,params_W,params_coef,params_initialization,params_lr,params_sampling,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,system_attrs_completed_rung_7,state
0,0,101.2608206675099,2024-04-02 12:34:32.127677,2024-04-02 12:36:34.991636,0 days 00:02:02.863959,6,2111,69,177,181,32,0.8437704366213173,normal,0.02557557038309716,random,339.15858936708366,339.15858936708366,339.15858936708366,339.15858936708366,339.15858936708366,339.15858936708366,270.59215088823436,163.54302848926827,COMPLETE
1,1,11.593569772903422,2024-04-02 12:36:34.993637,2024-04-02 12:38:33.846915,0 days 00:01:58.853278,6,841,30,81,139,64,0.8169672326507534,orthogonal,6.745062172789767e-05,grid,47.13303357167122,47.13303357167122,47.13303357167122,47.13303357167122,47.13303357167122,47.13303357167122,33.621474141270625,22.18985567751584,COMPLETE
2,2,42.01678345328811,2024-04-02 12:38:33.847915,2024-04-02 12:38:50.373122,0 days 00:00:16.525207,4,213,40,203,37,48,0.77438730629381,eye,0.8245626737626203,grid,42.01707946286522,42.01707946286522,42.01707946286522,42.01707946286522,42.01707946286522,42.01707946286522,42.01678345328811,,PRUNED
3,3,40.90442367106474,2024-04-02 12:38:50.374123,2024-04-02 12:39:12.857883,0 days 00:00:22.483760,6,585,45,204,28,48,0.7275015263712782,normal,0.39170745947661506,grid,40.904611127795015,40.904611127795015,40.904611127795015,40.904611127795015,40.904611127795015,40.904611127795015,40.90442367106474,,PRUNED
4,4,42.76975853988312,2024-04-02 12:39:12.859885,2024-04-02 12:39:21.207379,0 days 00:00:08.347494,4,182,32,148,207,32,0.7138325266011006,eye,0.4577340207949367,grid,42.76975853988312,,,,,,,,PRUNED
5,5,4.350167885581371,2024-04-02 12:39:21.208380,2024-04-02 12:40:44.305719,0 days 00:01:23.097339,4,3544,35,183,231,48,0.05871339889473187,xavier,0.009777894311366372,random,1.4338596939198063,1.4338596939198063,1.4338596939198063,1.4338596939198063,1.4338596939198063,1.4338596939198063,1.2540560935775473,1.1085053323610388,COMPLETE
6,6,157.21900494815466,2024-04-02 12:40:44.306720,2024-04-02 12:40:49.532361,0 days 00:00:05.225641,2,1585,27,201,86,64,0.21453959914911358,normal,0.0018537286789346698,grid,157.21900494815466,,,,,,,,PRUNED
7,7,58.017479609618206,2024-04-02 12:40:49.533363,2024-04-02 12:43:13.976847,0 days 00:02:24.443484,8,522,44,82,59,32,0.49139429364607057,kaiming,8.622822364344988e-05,random,63.049446732133525,63.049446732133525,63.049446732133525,63.049446732133525,63.049446732133525,60.07764865260099,58.44190994973137,,COMPLETE
8,8,40.91534702144305,2024-04-02 12:43:13.977848,2024-04-02 12:43:28.193186,0 days 00:00:14.215338,8,244,47,24,165,48,0.6510263949105946,orthogonal,0.049770930585862086,grid,40.91534702144305,,,,,,,,PRUNED
9,9,41.49172592673278,2024-04-02 12:43:28.194187,2024-04-02 12:43:36.425436,0 days 00:00:08.231249,4,709,24,165,243,48,0.2018928251804687,xavier,0.10690100444171677,grid,41.49172592673278,,,,,,,,PRUNED
