,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_W,params_coef,params_lr,params_sampling,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,system_attrs_completed_rung_7,state
0,0,0.11015834416762305,2024-04-02 02:42:56.707401,2024-04-02 02:44:56.599007,0 days 00:01:59.891606,6,894,32,0.8800456666978045,0.007271743594465214,grid,1.4478573016578657,1.4478573016578657,1.4478573016578657,1.4478573016578657,0.2759765824979609,0.16815165002635088,,,COMPLETE
1,1,0.5599983220478285,2024-04-02 02:44:56.602010,2024-04-02 02:46:22.192955,0 days 00:01:25.590945,4,159,32,0.5210667591697757,0.0017807942208869067,grid,0.2530821484259064,0.2530821484259064,0.2530821484259064,0.2530821484259064,0.2530821484259064,0.2530821484259064,0.12313398699358596,0.04100028419246684,COMPLETE
2,2,0.11236797579677527,2024-04-02 02:46:22.194957,2024-04-02 02:47:17.460281,0 days 00:00:55.265324,2,1912,64,0.5996658341836723,0.01494741786569712,random,0.07073459617918089,0.07073459617918089,0.07073459617918089,0.07073459617918089,0.07073459617918089,0.07073459617918089,0.04950457720470832,0.030673674948606882,COMPLETE
3,3,0.20407044768823585,2024-04-02 02:47:17.461281,2024-04-02 02:48:10.069516,0 days 00:00:52.608235,2,77,64,0.5256398519514976,9.164114465426005e-05,grid,2.378828941927813,2.378828941927813,2.378828941927813,2.378828941927813,2.378828941927813,1.4291090321710351,0.4879943511863674,,COMPLETE
4,4,0.016394751604765785,2024-04-02 02:48:10.070515,2024-04-02 02:49:02.174644,0 days 00:00:52.104129,2,522,48,0.14301066142745572,0.0004815990008020974,grid,0.29032558226612665,0.29032558226612665,0.29032558226612665,0.14360487639184805,0.02664626948577438,,,,COMPLETE
5,5,0.045164340694109524,2024-04-02 02:49:02.176647,2024-04-02 02:50:57.628100,0 days 00:01:55.451453,6,1359,48,0.4394294379238641,0.00022226513478111094,grid,0.4370404800967997,0.4370404800967997,0.4370404800967997,0.4370404800967997,0.2460619130134,0.06125065023571492,,,COMPLETE
6,6,0.09373725288254901,2024-04-02 02:50:57.630102,2024-04-02 02:51:11.672541,0 days 00:00:14.042439,8,415,48,0.53707143494302,0.008257509166307034,grid,0.09373725288254901,,,,,,,,PRUNED
7,7,0.14048331850962095,2024-04-02 02:51:11.674544,2024-04-02 02:53:26.549230,0 days 00:02:14.874686,8,158,64,0.7090662772318181,8.538131282089697e-05,random,1.6004848223530392,1.6004848223530392,1.6004848223530392,1.6004848223530392,1.6004848223530392,1.3231884342211844,0.3004425524733098,,COMPLETE
8,8,0.43503299687759883,2024-04-02 02:53:26.550231,2024-04-02 02:53:34.690447,0 days 00:00:08.140216,4,150,64,0.25937510097129624,0.00011501360994080966,grid,0.43503299687759883,,,,,,,,PRUNED
9,9,4.922706269282036,2024-04-02 02:53:34.691449,2024-04-02 02:53:45.760497,0 days 00:00:11.069048,6,998,64,0.6008255912164298,2.7644486402228426e-05,grid,4.922706269282036,,,,,,,,PRUNED
10,10,12.707455818074965,2024-04-02 02:53:45.761497,2024-04-02 02:53:50.774946,0 days 00:00:05.013449,2,457,48,0.07756134078318244,0.6645173330319404,random,12.707455818074965,,,,,,,,PRUNED
11,11,0.1961012686692488,2024-04-02 02:53:50.775948,2024-04-02 02:54:02.574579,0 days 00:00:11.798631,6,1999,48,0.295891808305126,0.000724353656195316,grid,0.1961012686692488,,,,,,,,PRUNED
12,12,0.10244012997144415,2024-04-02 02:54:02.575580,2024-04-02 02:54:11.133431,0 days 00:00:08.557851,4,789,48,0.3356954362285578,0.0006110322135800363,grid,0.10244012997144415,,,,,,,,PRUNED
13,13,12.128968281107237,2024-04-02 02:54:11.134431,2024-04-02 02:54:21.901659,0 days 00:00:10.767228,6,602,32,0.11404220773913178,1.2026229328552037e-05,grid,12.128968281107237,,,,,,,,PRUNED
14,14,9.365650278742804,2024-04-02 02:54:21.902661,2024-04-02 02:54:30.379893,0 days 00:00:08.477232,4,1417,48,0.37694879702692496,0.035318614272670835,random,9.365650278742804,,,,,,,,PRUNED
15,15,0.042177921827047306,2024-04-02 02:54:30.380894,2024-04-02 02:56:54.302304,0 days 00:02:23.921410,8,263,48,0.18390380760759617,0.00040599025080287506,grid,0.7332718652343526,0.7332718652343526,0.7332718652343526,0.7332718652343526,0.7332718652343526,0.19121144393060258,0.05871003477791747,,COMPLETE
16,16,12.119311269970536,2024-04-02 02:56:54.304306,2024-04-02 02:57:08.414212,0 days 00:00:14.109906,8,256,32,0.19104713177559784,0.10010804099143643,grid,12.119311269970536,,,,,,,,PRUNED
