,number,value,datetime_start,datetime_complete,duration,params_NF,params_coef,params_lr,state
0,0,0.029070849906002273,2024-04-16 20:00:02.272863,2024-04-16 20:01:23.230523,0 days 00:01:20.957660,2048,0.22272248279982176,0.005411449894066798,COMPLETE
1,1,1.2635677399602916,2024-04-16 20:01:23.231516,2024-04-16 20:02:27.893521,0 days 00:01:04.662005,1024,0.22882411510125666,0.06606188067136193,COMPLETE
2,2,20.086871803160665,2024-04-16 20:02:27.895519,2024-04-16 20:03:36.038349,0 days 00:01:08.142830,1024,0.5235259443273987,0.09544188044767002,COMPLETE
3,3,0.29069497875407957,2024-04-16 20:03:36.039350,2024-04-16 20:04:50.722152,0 days 00:01:14.682802,2048,0.1657750976312048,0.03807707315849217,COMPLETE
4,4,20.859534813236596,2024-04-16 20:04:50.723148,2024-04-16 20:06:11.980431,0 days 00:01:21.257283,2048,0.6582313547868717,0.06593868624970581,COMPLETE
5,5,0.014391401100024815,2024-04-16 20:06:11.982434,2024-04-16 20:07:18.947654,0 days 00:01:06.965220,1024,0.07928141277227085,0.0010000000000000002,COMPLETE
6,6,0.01774184413641376,2024-04-16 20:07:18.949654,2024-04-16 20:08:24.657347,0 days 00:01:05.707693,1024,0.16589055778859635,0.0026745339793225477,COMPLETE
7,7,0.019752168528054403,2024-04-16 20:08:24.658343,2024-04-16 20:09:47.433765,0 days 00:01:22.775422,2048,0.1326754126280254,0.0010000000000000002,COMPLETE
8,8,7.6842589718619285,2024-04-16 20:09:47.433765,2024-04-16 20:10:53.644469,0 days 00:01:06.210704,1024,0.05,0.1,COMPLETE
9,9,0.037310566454038484,2024-04-16 20:10:53.646467,2024-04-16 20:12:16.275660,0 days 00:01:22.629193,2048,0.18621278365031851,0.00952920586060508,COMPLETE
10,10,0.014495052362734741,2024-04-16 20:12:16.277655,2024-04-16 20:13:19.309051,0 days 00:01:03.031396,1024,0.1536283335311402,0.0010000000000000002,COMPLETE
11,11,0.015671290803849956,2024-04-16 20:13:19.311331,2024-04-16 20:14:38.979999,0 days 00:01:19.668668,2048,0.05,0.0010000000000000002,COMPLETE
12,12,0.014356524872667932,2024-04-16 20:14:38.980998,2024-04-16 20:15:44.261503,0 days 00:01:05.280505,1024,0.95,0.0010000000000000002,COMPLETE
13,13,0.01411133350058559,2024-04-16 20:15:44.263495,2024-04-16 20:17:10.482308,0 days 00:01:26.218813,2048,0.95,0.0010000000000000002,COMPLETE
14,14,23.08210300907845,2024-04-16 20:17:10.484307,2024-04-16 20:18:14.231064,0 days 00:01:03.746757,1024,0.95,0.1,COMPLETE
