,number,value,datetime_start,datetime_complete,duration,params_NF,params_coef,params_lr,state
0,0,6.531757867402243,2024-04-16 22:47:34.915442,2024-04-16 22:48:38.582731,0 days 00:01:03.667289,1536,0.6989327973973,0.0012612112859232084,COMPLETE
1,1,7.845002685864863,2024-04-16 22:48:38.582731,2024-04-16 22:49:49.860403,0 days 00:01:11.277672,1536,0.13706852597914598,0.009391608482976101,COMPLETE
2,2,7.264164649023744,2024-04-16 22:49:49.862398,2024-04-16 22:51:11.692211,0 days 00:01:21.829813,2048,0.3534544178011936,0.003259519475696977,COMPLETE
3,3,8.886556712312528,2024-04-16 22:51:11.692211,2024-04-16 22:52:22.738043,0 days 00:01:11.045832,2048,0.2581733162856326,0.0407497806829304,COMPLETE
4,4,8.911092444989091,2024-04-16 22:52:22.738043,2024-04-16 22:53:34.254695,0 days 00:01:11.516652,2048,0.10042017246084467,0.0857911605033949,COMPLETE
5,5,7.97969343968581,2024-04-16 22:53:34.254695,2024-04-16 22:54:34.427145,0 days 00:01:00.172450,1024,0.3760222495174958,0.0010000000000000002,COMPLETE
6,6,1.8206721316924794,2024-04-16 22:54:34.427145,2024-04-16 22:55:45.190542,0 days 00:01:10.763397,2048,0.95,0.0010000000000000002,COMPLETE
7,7,1.0075912620645784,2024-04-16 22:55:45.192542,2024-04-16 22:56:55.672804,0 days 00:01:10.480262,2048,0.95,0.006886184588432598,COMPLETE
8,8,8.908737582631023,2024-04-16 22:56:55.674804,2024-04-16 22:58:07.417210,0 days 00:01:11.742406,2048,0.95,0.1,COMPLETE
9,9,1.6003666828024088,2024-04-16 22:58:07.417210,2024-04-16 22:59:19.843529,0 days 00:01:12.426319,2048,0.95,0.0034679161964581563,COMPLETE
10,10,0.9023599461071817,2024-04-16 22:59:19.845530,2024-04-16 23:00:26.689978,0 days 00:01:06.844448,1536,0.95,0.008308193277556657,COMPLETE
11,11,0.7909178503096892,2024-04-16 23:00:26.691980,2024-04-16 23:01:27.534249,0 days 00:01:00.842269,1024,0.95,0.006022184546627865,COMPLETE
12,12,0.9021508626766644,2024-04-16 23:01:27.534249,2024-04-16 23:02:31.910344,0 days 00:01:04.376095,1024,0.95,0.007451672465840628,COMPLETE
13,13,3.2627883368421644,2024-04-16 23:02:31.911342,2024-04-16 23:03:35.962325,0 days 00:01:04.050983,1024,0.95,0.0010000000000000002,COMPLETE
14,14,0.9536644752067359,2024-04-16 23:03:35.964323,2024-04-16 23:04:42.863971,0 days 00:01:06.899648,1536,0.95,0.006293411806879403,COMPLETE
