,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_W,params_coef,params_lr,params_sampling,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,system_attrs_completed_rung_7,state
22,22,7.162599674896503,2024-04-02 02:31:13.126066,2024-04-02 02:31:21.776610,0 days 00:00:08.650544,4,110,32,0.4467581592056934,0.00039789870063640983,random,7.162599674896503,7.162599674896503,7.162599674896503,,,,,,PRUNED
23,23,0.8995644253394373,2024-04-02 02:31:21.777611,2024-04-02 02:32:45.791983,0 days 00:01:24.014372,4,361,48,0.6040174540574869,0.005309057941622534,random,3.2032910755743593,3.2032910755743593,3.2032910755743593,3.2032910755743593,3.2032910755743593,3.2032910755743593,2.9589641595111837,1.1403588182231168,COMPLETE
24,24,3.1966689973666402,2024-04-02 02:32:45.792984,2024-04-02 02:33:09.919802,0 days 00:00:24.126818,6,343,48,0.5880414057390734,0.002598154764859697,random,2.8954697205245172,2.8954697205245172,2.8954697205245172,2.8954697205245172,2.8954697205245172,2.8954697205245172,3.1966689973666402,,PRUNED
25,25,20.970671984559704,2024-04-02 02:33:09.920804,2024-04-02 02:33:18.268965,0 days 00:00:08.348161,4,722,48,0.6067199578913702,0.05149895411337868,random,20.970671984559704,,,,,,,,PRUNED
26,26,0.5628689411976419,2024-04-02 02:33:18.269968,2024-04-02 02:34:11.465277,0 days 00:00:53.195309,2,273,48,0.42026197730284254,0.001993919423639078,grid,5.275612407626873,5.275612407626873,5.275612407626873,5.275612407626873,5.275612407626873,2.9461035319998383,1.4467620065036524,,COMPLETE
27,27,18.23141838286497,2024-04-02 02:34:11.467276,2024-04-02 02:34:16.586199,0 days 00:00:05.118923,2,281,48,0.3913084695027351,0.14677798885962107,grid,18.23141838286497,,,,,,,,PRUNED
28,28,1.8437049679731305,2024-04-02 02:34:16.587200,2024-04-02 02:34:42.927102,0 days 00:00:26.339902,2,385,48,0.674737663376467,0.022273941593439414,grid,2.288266669179769,2.288266669179769,2.288266669179769,2.288266669179769,2.288266669179769,2.288266669179769,1.4566831186444584,1.8437049679731305,PRUNED
29,29,4.896513843896959,2024-04-02 02:34:42.930108,2024-04-02 02:34:48.329886,0 days 00:00:05.399778,2,489,48,0.2921548313034074,0.002047955498377006,grid,4.896513843896959,4.896513843896959,,,,,,,PRUNED
30,30,0.20061905104195618,2024-04-02 02:34:48.331889,2024-04-02 02:35:40.843755,0 days 00:00:52.511866,2,214,64,0.41965640852795194,0.006118101321414105,grid,2.445097518160607,2.445097518160607,2.445097518160607,2.445097518160607,2.445097518160607,2.445097518160607,0.9515269473915492,0.49491847762779345,COMPLETE
31,31,0.13515671736507018,2024-04-02 02:35:40.845759,2024-04-02 02:36:33.639037,0 days 00:00:52.793278,2,201,64,0.4203059614426632,0.00586161365668336,grid,2.041907006484601,2.041907006484601,2.041907006484601,2.041907006484601,2.041907006484601,2.041907006484601,1.2285913592948265,0.34756552901130017,COMPLETE
