,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_W,params_coef,params_lr,params_sampling,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,system_attrs_completed_rung_7,state
0,0,1.9327426579575246,2024-04-02 21:53:10.200680,2024-04-02 21:54:36.715258,0 days 00:01:26.514578,4,369,64,0.15402911550283904,0.00047038591622965506,grid,75.33932702918733,75.33932702918733,75.33932702918733,75.33932702918733,75.33932702918733,75.33932702918733,85.15367662415105,20.59417984024228,COMPLETE
1,1,98.72267691945208,2024-04-02 21:54:36.715258,2024-04-02 21:54:50.276498,0 days 00:00:13.561240,8,726,48,0.8091380193903256,0.009528655177670053,grid,98.72267691945208,,,,,,,,PRUNED
2,2,84.27149955307704,2024-04-02 21:54:50.277494,2024-04-02 21:55:35.820680,0 days 00:00:45.543186,4,65,48,0.78180842661031,0.00431158651250875,grid,78.92197753758924,78.92197753758924,78.92197753758924,78.92197753758924,78.92197753758924,81.43203627337454,82.33198237125252,,COMPLETE
3,3,98.08405948561376,2024-04-02 21:55:35.822678,2024-04-02 21:56:41.460509,0 days 00:01:05.637831,8,1233,32,0.7314203300688128,0.004682325525529165,grid,72.54192484522798,72.54192484522798,72.54192484522798,72.54192484522798,72.54192484522798,74.03001292658873,98.08405948561376,,PRUNED
4,4,97.72118914092297,2024-04-02 21:56:41.462508,2024-04-02 21:56:51.431676,0 days 00:00:09.969168,8,252,32,0.12410130622414757,0.3934673788864587,random,97.72118914092297,,,,,,,,PRUNED
5,5,87.10286971720699,2024-04-02 21:56:51.433676,2024-04-02 21:56:59.827339,0 days 00:00:08.393663,8,79,32,0.3139077439142886,2.0782221961959512e-05,random,87.10286971720699,,,,,,,,PRUNED
6,6,97.72726761738163,2024-04-02 21:56:59.829343,2024-04-02 21:57:13.398907,0 days 00:00:13.569564,8,260,64,0.24825835878006502,0.08184027388366417,grid,97.72726761738163,,,,,,,,PRUNED
7,7,83.78290572191935,2024-04-02 21:57:13.400906,2024-04-02 21:57:22.258536,0 days 00:00:08.857630,4,1491,32,0.44302144613547845,2.954283521215708e-05,grid,83.78290572191935,,,,,,,,PRUNED
8,8,97.729804662806,2024-04-02 21:57:22.260533,2024-04-02 22:00:30.808142,0 days 00:03:08.547609,8,1221,48,0.4299245159539406,0.23832798224894067,grid,97.72979023217165,97.72979023217165,97.72979023217165,97.72979023217165,97.7297974474885,97.72980105514718,,,COMPLETE
9,9,80.83347401079638,2024-04-02 22:00:30.808142,2024-04-02 22:02:08.182397,0 days 00:01:37.374255,8,394,32,0.35032879108049464,0.00024866808508638034,random,76.92342795512873,76.92342795512873,76.92342795512873,77.99907878895038,79.05459792025417,,,,COMPLETE
10,10,73.01304901590525,2024-04-02 22:02:08.182397,2024-04-02 22:02:11.412791,0 days 00:00:03.230394,2,137,64,0.050605296214063275,0.00034974904012949825,random,73.01304901590525,,,,,,,,PRUNED
11,11,72.55102025928369,2024-04-02 22:02:11.414794,2024-04-02 22:03:09.351454,0 days 00:00:57.936660,6,456,64,0.24721126496836582,0.0003006178054022212,random,72.67058466027697,72.67058466027697,72.67058466027697,72.67058466027697,72.67058466027697,72.67058466027697,75.59465585941234,72.55102025928369,PRUNED
12,12,72.94035423273169,2024-04-02 22:03:09.367094,2024-04-02 22:03:21.098995,0 days 00:00:11.731901,6,431,64,0.5080791622230406,0.0002889864194364136,random,72.94035423273169,72.94035423273169,,,,,,,PRUNED
13,13,73.46293762289989,2024-04-02 22:03:21.101008,2024-04-02 22:03:25.145773,0 days 00:00:04.044765,2,668,48,0.6173200115884212,0.000792271812636176,random,73.46293762289989,,,,,,,,PRUNED
14,14,75.17666555023696,2024-04-02 22:03:25.146767,2024-04-02 22:03:30.127678,0 days 00:00:04.980911,4,176,48,0.15439981503656183,6.582141124055981e-05,grid,75.17666555023696,,,,,,,,PRUNED
15,15,97.72869323194959,2024-04-02 22:03:30.143304,2024-04-02 22:03:41.601506,0 days 00:00:11.458202,6,725,64,0.32390285746554187,0.02748226264054328,random,97.72869323194959,,,,,,,,PRUNED
16,16,77.17362595382389,2024-04-02 22:03:41.603513,2024-04-02 22:03:46.583497,0 days 00:00:04.979984,4,362,32,0.5624519686003571,0.0013491878764473966,random,77.17362595382389,,,,,,,,PRUNED
17,17,76.83413637828654,2024-04-02 22:03:46.585501,2024-04-02 22:03:53.069905,0 days 00:00:06.484404,6,138,48,0.9139453895240336,8.779480119935426e-05,grid,76.83413637828654,,,,,,,,PRUNED
18,18,72.70995054227254,2024-04-02 22:03:53.069905,2024-04-02 22:03:56.158500,0 days 00:00:03.088595,2,249,48,0.368521308973707,0.00011695683412996216,random,72.70995054227254,72.70995054227254,,,,,,,PRUNED
19,19,73.97253138690046,2024-04-02 22:03:56.158500,2024-04-02 22:04:04.034326,0 days 00:00:07.875826,6,554,32,0.18874028178405416,0.0012710763657146783,grid,73.97253138690046,73.97253138690046,,,,,,,PRUNED
20,20,81.67255155597547,2024-04-02 22:04:04.035328,2024-04-02 22:04:16.143859,0 days 00:00:12.108531,4,1964,64,0.057799703358829904,1.3015340229560589e-05,random,81.67255155597547,,,,,,,,PRUNED
21,21,83.83074249483899,2024-04-02 22:04:16.143859,2024-04-02 22:04:20.936747,0 days 00:00:04.792888,4,93,48,0.6574234305033604,0.0052323765980701094,grid,83.83074249483899,,,,,,,,PRUNED
22,22,96.89527398270418,2024-04-02 22:04:20.936747,2024-04-02 22:04:31.781361,0 days 00:00:10.844614,4,297,48,0.9483952633689692,0.02966494906255019,grid,66.13446102562244,66.13446102562244,66.13446102562244,66.13446102562244,66.13446102562244,66.13446102562244,96.89527398270418,,PRUNED
23,23,72.77889757346529,2024-04-02 22:04:31.796981,2024-04-02 22:04:34.990717,0 days 00:00:03.193736,2,177,64,0.7594615524036966,0.002264024331297532,grid,72.77889757346529,72.77889757346529,,,,,,,PRUNED
24,24,83.2371123711366,2024-04-02 22:04:34.992721,2024-04-02 22:05:18.148282,0 days 00:00:43.155561,4,66,32,0.4140728407554868,0.0005637410750634626,grid,75.27695889552272,75.27695889552272,75.27695889552272,75.27695889552272,76.16600232358275,78.16923813396372,,,COMPLETE
25,25,88.29816455923931,2024-04-02 22:05:18.148282,2024-04-02 22:05:24.379089,0 days 00:00:06.230807,6,185,32,0.3978901922420994,0.0006976759433968279,grid,88.29816455923931,,,,,,,,PRUNED
26,26,76.40904942240441,2024-04-02 22:05:24.381089,2024-04-02 22:05:31.083848,0 days 00:00:06.702759,4,933,32,0.25954857753287747,0.00014247206767155286,grid,76.40904942240441,,,,,,,,PRUNED
27,27,79.56765913818009,2024-04-02 22:05:31.085844,2024-04-02 22:05:34.142791,0 days 00:00:03.056947,2,374,32,0.5188213836562522,5.4204710697829544e-05,grid,79.56765913818009,,,,,,,,PRUNED
28,28,73.89018633611244,2024-04-02 22:05:34.142791,2024-04-02 22:05:41.641448,0 days 00:00:07.498657,6,499,32,0.3223239096152429,0.0005075789775118798,random,73.89018633611244,73.89018633611244,,,,,,,PRUNED
29,29,77.94493181579175,2024-04-02 22:05:41.641448,2024-04-02 22:05:48.443548,0 days 00:00:06.802100,4,879,32,0.46127668476805117,0.009061773266337165,grid,77.94493181579175,,,,,,,,PRUNED
30,30,78.0724809334088,2024-04-02 22:05:48.443548,2024-04-02 22:05:52.818493,0 days 00:00:04.374945,4,120,32,0.19058084453070254,0.00021442351697683945,grid,78.0724809334088,,,,,,,,PRUNED
31,31,76.5806202879952,2024-04-02 22:05:52.818493,2024-04-02 22:05:57.131719,0 days 00:00:04.313226,4,67,48,0.8580727626956849,0.0028010005442162295,grid,76.5806202879952,,,,,,,,PRUNED
32,32,77.56650015911454,2024-04-02 22:05:57.131719,2024-04-02 22:06:01.592510,0 days 00:00:04.460791,4,64,48,0.6832481838690556,0.02163687987565176,grid,77.56650015911454,,,,,,,,PRUNED
33,33,76.92191238474878,2024-04-02 22:06:01.594510,2024-04-02 22:06:05.766813,0 days 00:00:04.172303,4,98,32,0.5715886366844191,0.00124966381613085,grid,76.92191238474878,,,,,,,,PRUNED
34,34,81.81833260753606,2024-04-02 22:06:05.766813,2024-04-02 22:06:13.517834,0 days 00:00:07.751021,8,86,48,0.7855000809008739,0.006044283250846205,grid,81.81833260753606,,,,,,,,PRUNED
35,35,82.23536812938025,2024-04-02 22:06:13.519833,2024-04-02 22:06:19.876806,0 days 00:00:06.356973,2,311,32,0.3771281684591063,0.0025654068980133452,grid,74.67791171349585,74.67791171349585,74.67791171349585,74.67791171349585,82.23536812938025,,,,PRUNED
36,36,97.58649139662818,2024-04-02 22:06:19.876806,2024-04-02 22:06:29.067613,0 days 00:00:09.190807,6,217,64,0.10838643323096564,0.012103383498656544,grid,97.58649139662818,,,,,,,,PRUNED
37,37,80.2512935333517,2024-04-02 22:06:29.069612,2024-04-02 22:06:37.586404,0 days 00:00:08.516792,8,108,32,0.25833754834937867,3.358572736233435e-05,random,80.2512935333517,,,,,,,,PRUNED
38,38,73.95533697960097,2024-04-02 22:06:37.588404,2024-04-02 22:06:46.080887,0 days 00:00:08.492483,4,608,64,0.7176241840126273,0.00016914894999993548,grid,73.95533697960097,73.95533697960097,,,,,,,PRUNED
39,39,98.72737654810977,2024-04-02 22:06:46.082873,2024-04-02 22:06:51.292243,0 days 00:00:05.209370,4,74,48,0.4721373659061545,0.062012334211976695,random,98.72737654810977,,,,,,,,PRUNED
40,40,97.73158912123549,2024-04-02 22:06:51.294242,2024-04-02 22:07:00.071507,0 days 00:00:08.777265,8,141,32,0.8513929906968779,0.9256740531782779,grid,97.73158912123549,,,,,,,,PRUNED
