,number,value,datetime_start,datetime_complete,duration,params_NF,params_coef,params_lr,state
0,0,23.39304839534561,2024-04-16 22:02:21.422342,2024-04-16 22:03:34.637630,0 days 00:01:13.215288,2048,0.7837111903426798,0.001388860542813402,COMPLETE
1,1,30.674712123693702,2024-04-16 22:03:34.637630,2024-04-16 22:04:38.011582,0 days 00:01:03.373952,1024,0.9155573191583285,0.0031364559833764244,COMPLETE
2,2,0.1569723293609348,2024-04-16 22:04:38.011582,2024-04-16 22:05:50.056963,0 days 00:01:12.045381,2048,0.25834960507742466,0.0020636644077196057,COMPLETE
3,3,0.2871399295160281,2024-04-16 22:05:50.058957,2024-04-16 22:07:10.021472,0 days 00:01:19.962515,2048,0.1677943461294419,0.002334107189688262,COMPLETE
4,4,2.41453495481942,2024-04-16 22:07:10.021472,2024-04-16 22:08:23.928172,0 days 00:01:13.906700,2048,0.6306441433708266,0.005070240088776026,COMPLETE
5,5,1.22162077294796,2024-04-16 22:08:23.929167,2024-04-16 22:09:37.637356,0 days 00:01:13.708189,2048,0.36973332311629237,0.01424529359496039,COMPLETE
6,6,0.4915441761307606,2024-04-16 22:09:37.638356,2024-04-16 22:10:53.656929,0 days 00:01:16.018573,2048,0.37565096214155924,0.00518299410060653,COMPLETE
7,7,1.2427849380346772,2024-04-16 22:10:53.657927,2024-04-16 22:11:56.947256,0 days 00:01:03.289329,1024,0.48930160304694376,0.0025200049710462783,COMPLETE
8,8,88.21386035056777,2024-04-16 22:11:56.949255,2024-04-16 22:13:10.090122,0 days 00:01:13.140867,2048,0.5451094797277769,0.1,COMPLETE
9,9,0.0693459908924017,2024-04-16 22:13:10.092121,2024-04-16 22:14:08.915272,0 days 00:00:58.823151,1024,0.05,0.0010000000000000002,COMPLETE
10,10,0.360199675432939,2024-04-16 22:14:08.916269,2024-04-16 22:15:08.402827,0 days 00:00:59.486558,1024,0.05,0.00803150273979879,COMPLETE
11,11,0.14156652635683953,2024-04-16 22:15:08.403825,2024-04-16 22:16:07.657817,0 days 00:00:59.253992,1024,0.1687481081286641,0.002303130933175901,COMPLETE
12,12,0.851606647063325,2024-04-16 22:16:07.659816,2024-04-16 22:17:06.263291,0 days 00:00:58.603475,1024,0.4188033468705221,0.008851136839148462,COMPLETE
13,13,0.017906000870999587,2024-04-16 22:17:06.264294,2024-04-16 22:18:17.831589,0 days 00:01:11.567295,2048,0.05,0.011548960941827738,COMPLETE
14,14,2.0668480380809644,2024-04-16 22:18:17.833589,2024-04-16 22:19:30.028559,0 days 00:01:12.194970,2048,0.3231888996279798,0.009623891415771907,COMPLETE
