,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_W,params_coef,params_lr,params_sampling,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,system_attrs_completed_rung_7,state
0,0,8.908060496734102,2024-04-02 22:08:44.954370,2024-04-02 22:10:04.525351,0 days 00:01:19.570981,6,174,48,0.18386892236262414,0.023636447610478825,random,9.049745685089444,9.049745685089444,9.049745685089444,9.049745685089444,9.049745685089444,8.90805572265979,8.908066457355018,,COMPLETE
1,1,7.471421858040077,2024-04-02 22:10:04.529355,2024-04-02 22:10:51.559429,0 days 00:00:47.030074,2,651,48,0.6067641082615233,0.0003576518211201227,random,8.889939764397829,8.889939764397829,8.889939764397829,8.889939764397829,8.889939764397829,8.889939764397829,8.815183646833248,8.660680557393068,COMPLETE
2,2,7.5689010482387955,2024-04-02 22:10:51.561433,2024-04-02 22:14:14.980034,0 days 00:03:23.418601,8,1128,64,0.569816844122259,0.0008920373216584049,grid,8.400871788359877,8.400871788359877,8.400871788359877,8.400871788359877,8.400871788359877,8.400871788359877,8.135617048072866,7.823160132869418,COMPLETE
3,3,8.908065764976936,2024-04-02 22:14:14.982029,2024-04-02 22:15:54.933668,0 days 00:01:39.951639,8,101,64,0.34516849945555095,0.01289579275954031,grid,8.690773521725623,8.690773521725623,8.690773521725623,8.908065880301587,8.908065966924866,,,,COMPLETE
4,4,8.673855686965727,2024-04-02 22:15:54.935669,2024-04-02 22:16:06.221928,0 days 00:00:11.286259,4,1639,48,0.519690123596798,0.0024202900018541183,grid,8.673855686965727,,,,,,,,PRUNED
5,5,8.598089455529554,2024-04-02 22:16:06.221928,2024-04-02 22:16:19.141755,0 days 00:00:12.919827,8,303,48,0.4576405904038208,0.00025603416495734144,random,8.598089455529554,,,,,,,,PRUNED
6,6,7.930561880803597,2024-04-02 22:16:19.143756,2024-04-02 22:18:17.430554,0 days 00:01:58.286798,6,597,64,0.6168034157925306,4.026041890218719e-05,grid,8.894914248074533,8.894914248074533,8.894914248074533,8.894914248074533,8.77477202661912,8.231352864354786,,,COMPLETE
7,7,8.908132123330589,2024-04-02 22:18:17.432557,2024-04-02 22:18:26.363022,0 days 00:00:08.930465,4,1485,48,0.7851854121590737,0.1482674601698129,random,8.908132123330589,,,,,,,,PRUNED
8,8,8.867492237371506,2024-04-02 22:18:26.365027,2024-04-02 22:18:44.247258,0 days 00:00:17.882231,8,960,64,0.3955451581875159,0.0005618854074706193,random,8.867492237371506,,,,,,,,PRUNED
9,9,8.403734884301647,2024-04-02 22:18:44.249258,2024-04-02 22:20:03.533391,0 days 00:01:19.284133,8,129,32,0.776819613901853,8.335419895715947e-05,random,8.289876758735588,8.289876758735588,8.5637046353264,8.539443720536191,,,,,COMPLETE
10,10,8.857541924401593,2024-04-02 22:20:03.535389,2024-04-02 22:20:35.167951,0 days 00:00:31.632562,2,355,32,0.9407405901737819,1.120762966754431e-05,random,8.897833177643378,8.897833177643378,8.897833177643378,8.897833177643378,8.897833177643378,8.893329444437333,8.885645090239128,,COMPLETE
11,11,6.953288232556456,2024-04-02 22:20:35.169951,2024-04-02 22:21:33.488639,0 days 00:00:58.318688,2,854,64,0.6451671386794245,0.0017083166465637783,grid,8.81208217320175,8.81208217320175,8.81208217320175,8.81208217320175,8.264906297993882,7.348499153948795,,,COMPLETE
12,12,4.777706251568937,2024-04-02 22:21:33.490639,2024-04-02 22:22:11.151837,0 days 00:00:37.661198,2,644,32,0.6682277473804864,0.007586198508209425,grid,8.125183567819255,8.125183567819255,8.125183567819255,8.125183567819255,8.125183567819255,8.125183567819255,7.10596063921885,6.78941126494226,COMPLETE
13,13,3.3658079054868515,2024-04-02 22:22:11.154838,2024-04-02 22:22:46.231427,0 days 00:00:35.076589,2,626,32,0.7596629316093081,0.012761701421361859,grid,8.267144700634981,8.267144700634981,8.267144700634981,8.267144700634981,8.267144700634981,7.4334844764751695,5.729390018391533,,COMPLETE
14,14,8.908125127464965,2024-04-02 22:22:46.233421,2024-04-02 22:22:51.783416,0 days 00:00:05.549995,4,504,32,0.7708182382823007,0.9584375336519542,grid,8.908125127464965,,,,,,,,PRUNED
15,15,1.1263462552690777,2024-04-02 22:22:51.785416,2024-04-02 22:23:22.984046,0 days 00:00:31.198630,2,232,32,0.919806830668555,0.013386417612892955,grid,6.587993613138891,6.587993613138891,6.587993613138891,6.587993613138891,6.587993613138891,6.587993613138891,4.927925366421982,2.8640007376552696,COMPLETE
16,16,9.02140543845021,2024-04-02 22:23:22.988048,2024-04-02 22:23:27.776176,0 days 00:00:04.788128,4,211,32,0.9487163883431686,0.05119083601963577,grid,9.02140543845021,,,,,,,,PRUNED
17,17,8.90819020516386,2024-04-02 22:23:27.778176,2024-04-02 22:23:30.999366,0 days 00:00:03.221190,2,68,32,0.854325176526377,0.2762218515952876,grid,8.90819020516386,,,,,,,,PRUNED
18,18,8.90736639413139,2024-04-02 22:23:31.001365,2024-04-02 22:23:34.557615,0 days 00:00:03.556250,2,246,32,0.0683832901216434,0.005563386637177636,grid,8.90736639413139,,,,,,,,PRUNED
