,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_W,params_coef,params_lr,params_sampling,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,system_attrs_completed_rung_7,state
19,19,8.908073826792847,2024-04-02 22:23:34.561618,2024-04-02 22:23:43.109999,0 days 00:00:08.548381,6,392,32,0.8553488929082992,0.0476075733006374,grid,8.908073826792847,,,,,,,,PRUNED
20,20,8.908102886361567,2024-04-02 22:23:43.111999,2024-04-02 22:23:49.064954,0 days 00:00:05.952955,4,154,32,0.7043628577922282,0.12206197705924549,grid,8.908102886361567,,,,,,,,PRUNED
21,21,5.9454443266402155,2024-04-02 22:23:49.067481,2024-04-02 22:24:08.190024,0 days 00:00:19.122543,2,446,32,0.7010366262402435,0.007570361719928964,grid,8.03843197617661,8.03843197617661,8.03843197617661,8.03843197617661,8.03843197617661,7.130614617119353,5.9454443266402155,,PRUNED
22,22,1.7861072318291462,2024-04-02 22:24:08.192024,2024-04-02 22:24:51.684663,0 days 00:00:43.492639,2,787,32,0.8518484518897089,0.018677546784327204,grid,7.624699135156764,7.624699135156764,7.624699135156764,7.624699135156764,7.624699135156764,6.351278872687117,3.60950935789882,,COMPLETE
23,23,7.173464956835438,2024-04-02 22:24:51.687672,2024-04-02 22:24:56.394377,0 days 00:00:04.706705,2,773,32,0.8667953080669631,0.032357037402371336,grid,7.173464956835438,7.173464956835438,,,,,,,PRUNED
24,24,4.783878743246744,2024-04-02 22:24:56.396384,2024-04-02 22:25:48.630336,0 days 00:00:52.233952,4,1188,48,0.8873806585194619,0.017965711545812602,grid,5.985930112204067,5.985930112204067,5.985930112204067,5.985930112204067,5.985930112204067,5.985930112204067,4.667067042209668,4.783878743246744,PRUNED
25,25,7.330605256043202,2024-04-02 22:25:48.635341,2024-04-02 22:26:00.868633,0 days 00:00:12.233292,2,2025,32,0.7804326735597062,0.0032758299325702034,grid,7.867083695034647,7.867083695034647,7.867083695034647,7.867083695034647,7.867083695034647,7.330605256043202,,,PRUNED
26,26,8.915995156467991,2024-04-02 22:26:00.870633,2024-04-02 22:26:05.102358,0 days 00:00:04.231725,2,304,48,0.7310184526940158,0.2897202808543608,grid,8.915995156467991,,,,,,,,PRUNED
27,27,8.908164347851114,2024-04-02 22:26:05.106359,2024-04-02 22:26:12.316748,0 days 00:00:07.210389,4,523,32,0.8304976926589732,0.07650925404433467,grid,8.908164347851114,,,,,,,,PRUNED
28,28,7.100259169662293,2024-04-02 22:26:12.317748,2024-04-02 22:26:16.731395,0 days 00:00:04.413647,2,763,32,0.9232700326026926,0.009640365328432413,grid,7.100259169662293,7.100259169662293,,,,,,,PRUNED
29,29,8.39875443795424,2024-04-02 22:26:16.733394,2024-04-02 22:26:25.660854,0 days 00:00:08.927460,6,197,48,0.20425129506285472,0.02344788758678878,grid,8.39875443795424,,,,,,,,PRUNED
30,30,2.612120002900601,2024-04-02 22:26:25.663847,2024-04-02 22:27:26.045930,0 days 00:01:00.382083,4,283,32,0.8021915752515266,0.0045206978060040185,grid,7.265096019655367,7.265096019655367,7.265096019655367,6.124431564911842,4.68727950835885,,,,COMPLETE
31,31,8.031784351419393,2024-04-02 22:27:26.047930,2024-04-02 22:27:31.695260,0 days 00:00:05.647330,4,296,32,0.8206084383356574,0.0011919891051222417,grid,8.031784351419393,,,,,,,,PRUNED
32,32,7.152700708948959,2024-04-02 22:27:31.697260,2024-04-02 22:27:35.044448,0 days 00:00:03.347188,2,240,32,0.8968524497641943,0.003494355518324604,grid,7.152700708948959,7.152700708948959,,,,,,,PRUNED
33,33,8.46315708637842,2024-04-02 22:27:35.046446,2024-04-02 22:27:38.319518,0 days 00:00:03.273072,2,147,32,0.560535253087596,0.014872226892866432,grid,8.46315708637842,,,,,,,,PRUNED
34,34,7.558256515206617,2024-04-02 22:27:38.321517,2024-04-02 22:27:44.353949,0 days 00:00:06.032432,4,364,32,0.7338715523280962,0.004724182602843637,grid,7.558256515206617,7.558256515206617,,,,,,,PRUNED
35,35,7.292266500253808,2024-04-02 22:27:44.355949,2024-04-02 22:27:50.953829,0 days 00:00:06.597880,2,108,48,0.8123510189148425,0.025777702157901684,grid,7.692505405167743,7.692505405167743,7.692505405167743,7.692505405167743,7.692505405167743,7.292266500253808,,,PRUNED
36,36,8.02836225429014,2024-04-02 22:27:50.955829,2024-04-02 22:27:55.402345,0 days 00:00:04.446516,2,1065,32,0.8946540513272865,0.0008253751410712858,random,8.02836225429014,,,,,,,,PRUNED
37,37,8.229398843998021,2024-04-02 22:27:55.404348,2024-04-02 22:28:03.302420,0 days 00:00:07.898072,4,546,48,0.5813344508432738,0.002063820359090833,grid,8.229398843998021,,,,,,,,PRUNED
38,38,8.670112623529066,2024-04-02 22:28:03.304426,2024-04-02 22:28:11.968478,0 days 00:00:08.664052,6,439,32,0.5047278630041256,0.00029969237009849276,grid,8.670112623529066,,,,,,,,PRUNED
39,39,8.360909551549646,2024-04-02 22:28:11.970461,2024-04-02 22:28:17.650321,0 days 00:00:05.679860,2,1360,48,0.6502452548935478,0.01197850279216841,random,8.360909551549646,,,,,,,,PRUNED
40,40,8.86408963027155,2024-04-02 22:28:17.652321,2024-04-02 22:28:25.049225,0 days 00:00:07.396904,4,708,32,0.301574171359419,0.0479532343044081,grid,8.86408963027155,,,,,,,,PRUNED
41,41,8.201556823258016,2024-04-02 22:28:25.051220,2024-04-02 22:28:29.282573,0 days 00:00:04.231353,2,606,32,0.6835350996524521,0.008033043246240781,grid,8.201556823258016,,,,,,,,PRUNED
42,42,4.415887288745171,2024-04-02 22:28:29.284574,2024-04-02 22:29:05.229012,0 days 00:00:35.944438,2,284,32,0.7562506364420879,0.0049385604343071005,grid,8.287297332387885,8.287297332387885,8.287297332387885,8.287297332387885,7.890938727973177,6.251437336458007,,,COMPLETE
43,43,7.712624250719017,2024-04-02 22:29:05.231011,2024-04-02 22:29:08.601232,0 days 00:00:03.370221,2,276,32,0.75133049765873,0.004440566652081203,grid,7.712624250719017,7.712624250719017,,,,,,,PRUNED
44,44,7.592164415163052,2024-04-02 22:29:08.603232,2024-04-02 22:29:11.884042,0 days 00:00:03.280810,2,188,32,0.8118772485617078,0.01400363746193046,random,7.592164415163052,7.592164415163052,,,,,,,PRUNED
45,45,8.876514381181023,2024-04-02 22:29:11.886046,2024-04-02 22:29:15.240289,0 days 00:00:03.354243,2,236,32,0.6161786977961514,0.0015580864345164016,grid,8.876514381181023,,,,,,,,PRUNED
46,46,8.195869511828992,2024-04-02 22:29:15.242291,2024-04-02 22:29:18.840529,0 days 00:00:03.598238,2,326,32,0.9124260182914454,0.0005176044658940878,grid,8.195869511828992,,,,,,,,PRUNED
47,47,8.069616618364341,2024-04-02 22:29:18.843521,2024-04-02 22:29:29.697900,0 days 00:00:10.854379,4,903,64,0.7997406496248982,0.0028960036515880854,grid,8.069616618364341,,,,,,,,PRUNED
48,48,8.898785319778158,2024-04-02 22:29:29.699901,2024-04-02 22:29:33.391127,0 days 00:00:03.691226,2,457,32,0.8521322300429701,0.0001372175562968968,random,8.898785319778158,,,,,,,,PRUNED
49,49,7.461568601108964,2024-04-02 22:29:33.393132,2024-04-02 22:29:42.493752,0 days 00:00:09.100620,8,155,32,0.7417589694234618,0.006077491094608339,grid,7.461568601108964,7.461568601108964,,,,,,,PRUNED
