,number,value,datetime_start,datetime_complete,duration,params_NF,params_coef,params_lr,state
0,0,48.41819924787305,2024-04-16 21:45:05.776972,2024-04-16 21:46:17.050289,0 days 00:01:11.273317,2048,0.6849388485008616,0.002220673323893537,COMPLETE
1,1,56.29192675644062,2024-04-16 21:46:17.052285,2024-04-16 21:47:19.801991,0 days 00:01:02.749706,1024,0.7885027526364876,0.002576346280441357,COMPLETE
2,2,6.146967142727644,2024-04-16 21:47:19.802991,2024-04-16 21:48:31.789974,0 days 00:01:11.986983,2048,0.46065662203016866,0.007302618774904827,COMPLETE
3,3,19.384549296914436,2024-04-16 21:48:31.791973,2024-04-16 21:49:43.743972,0 days 00:01:11.951999,2048,0.725120273198495,0.020257768847640818,COMPLETE
4,4,107.36170528457498,2024-04-16 21:49:43.744971,2024-04-16 21:50:54.975285,0 days 00:01:11.230314,2048,0.7571466943998508,0.0011843961818975989,COMPLETE
5,5,1.3311090978469335,2024-04-16 21:50:54.977283,2024-04-16 21:52:05.550613,0 days 00:01:10.573330,2048,0.05,0.012342813557133684,COMPLETE
6,6,94.05633644888795,2024-04-16 21:52:05.552611,2024-04-16 21:53:06.298462,0 days 00:01:00.745851,1024,0.05,0.1,COMPLETE
7,7,1.6927343214365753,2024-04-16 21:53:06.300461,2024-04-16 21:54:09.221576,0 days 00:01:02.921115,1024,0.05,0.010339889877983592,COMPLETE
8,8,0.4953650252134848,2024-04-16 21:54:09.223577,2024-04-16 21:55:24.858474,0 days 00:01:15.634897,2048,0.05,0.005994830335442732,COMPLETE
9,9,0.590161328245631,2024-04-16 21:55:24.860470,2024-04-16 21:56:41.854958,0 days 00:01:16.994488,2048,0.05,0.008581316684376181,COMPLETE
10,10,0.43770563018673153,2024-04-16 21:56:41.856954,2024-04-16 21:57:45.965327,0 days 00:01:04.108373,1024,0.05,0.01581861973958642,COMPLETE
11,11,1.600145685622018,2024-04-16 21:57:45.967328,2024-04-16 21:58:53.706739,0 days 00:01:07.739411,1536,0.05,0.012614486176789518,COMPLETE
12,12,1.7767725244904486,2024-04-16 21:58:53.707735,2024-04-16 21:59:56.215627,0 days 00:01:02.507892,1024,0.05,0.013658397686086492,COMPLETE
13,13,0.5001884934575233,2024-04-16 21:59:56.231093,2024-04-16 22:01:19.132917,0 days 00:01:22.901824,2048,0.05,0.020114669043108886,COMPLETE
14,14,0.10733198172360739,2024-04-16 22:01:19.135918,2024-04-16 22:02:21.412345,0 days 00:01:02.276427,1024,0.05,0.02071679503021524,COMPLETE
