,number,value,datetime_start,datetime_complete,duration,params_NF,params_coef,params_lr,state
0,0,4.272010066014205,2024-04-16 23:04:42.879600,2024-04-16 23:05:45.567401,0 days 00:01:02.687801,1536,0.5997845897111849,0.01239073883758979,COMPLETE
1,1,0.22135302267367638,2024-04-16 23:05:45.567401,2024-04-16 23:06:45.197493,0 days 00:00:59.630092,1024,0.5886800312893178,0.05166728176235281,COMPLETE
2,2,7.147678944605127,2024-04-16 23:06:45.199490,2024-04-16 23:07:56.988473,0 days 00:01:11.788983,2048,0.1884496002559356,0.051594233389130474,COMPLETE
3,3,4.6449802294330755,2024-04-16 23:07:56.990472,2024-04-16 23:08:58.505306,0 days 00:01:01.514834,1536,0.3776511101597338,0.0039056557887268448,COMPLETE
4,4,0.7599951674842009,2024-04-16 23:08:58.505306,2024-04-16 23:09:55.691959,0 days 00:00:57.186653,1024,0.8505493322709751,0.05272658080752609,COMPLETE
5,5,8.907956093483005,2024-04-16 23:09:55.691959,2024-04-16 23:10:53.657121,0 days 00:00:57.965162,1024,0.05,0.1,COMPLETE
6,6,8.858087637122667,2024-04-16 23:10:53.658122,2024-04-16 23:11:51.723523,0 days 00:00:58.065401,1024,0.6868037827294838,0.1,COMPLETE
7,7,0.7662164911736925,2024-04-16 23:11:51.739143,2024-04-16 23:12:54.539486,0 days 00:01:02.800343,1024,0.307618123034538,0.03414180063510319,COMPLETE
8,8,0.6272045720999619,2024-04-16 23:12:54.541483,2024-04-16 23:13:54.019799,0 days 00:00:59.478316,1024,0.48858936860915725,0.04396542311509158,COMPLETE
9,9,0.012130892094416564,2024-04-16 23:13:54.019799,2024-04-16 23:14:52.807326,0 days 00:00:58.787527,1024,0.95,0.03873243679004144,COMPLETE
10,10,0.04594577759751197,2024-04-16 23:14:52.808337,2024-04-16 23:15:52.866899,0 days 00:01:00.058562,1024,0.95,0.0010000000000000002,COMPLETE
11,11,0.05050251503222858,2024-04-16 23:15:52.868895,2024-04-16 23:17:04.598832,0 days 00:01:11.729937,2048,0.95,0.0010000000000000002,COMPLETE
12,12,8.898734255248868,2024-04-16 23:17:04.598832,2024-04-16 23:18:08.026491,0 days 00:01:03.427659,1536,0.05,0.0010000000000000002,COMPLETE
13,13,0.01406826345629266,2024-04-16 23:18:08.028489,2024-04-16 23:19:12.946860,0 days 00:01:04.918371,1024,0.7094217268149173,0.0368036735000467,COMPLETE
14,14,0.016574618166581942,2024-04-16 23:19:12.947857,2024-04-16 23:20:17.645762,0 days 00:01:04.697905,1536,0.95,0.001651611159489311,COMPLETE
