,number,value,datetime_start,datetime_complete,duration,params_NF,params_coef,params_lr,state
0,0,0.080522333585264,2024-04-16 22:19:30.038561,2024-04-16 22:21:13.842813,0 days 00:01:43.804252,1536,0.5214637268222042,0.0036534015127988166,COMPLETE
1,1,0.3111913354960702,2024-04-16 22:21:13.844817,2024-04-16 22:23:18.236380,0 days 00:02:04.391563,2048,0.8311860582010082,0.0020329129657202525,COMPLETE
2,2,8.426356850581591,2024-04-16 22:23:18.238373,2024-04-16 22:25:26.030726,0 days 00:02:07.792353,2048,0.8609312104604918,0.04160277163654989,COMPLETE
3,3,2.7429516968835403,2024-04-16 22:25:26.032722,2024-04-16 22:27:09.515012,0 days 00:01:43.482290,1024,0.33429452779796043,0.0010608499069388352,COMPLETE
4,4,1.0338445674762087,2024-04-16 22:27:09.516011,2024-04-16 22:28:54.842477,0 days 00:01:45.326466,1536,0.1562850319099758,0.0020183966149202068,COMPLETE
5,5,1.3892612693868613,2024-04-16 22:28:54.843472,2024-04-16 22:30:37.298627,0 days 00:01:42.455155,1024,0.95,0.0032418297851003744,COMPLETE
6,6,0.0815798487262549,2024-04-16 22:30:37.300627,2024-04-16 22:32:36.748506,0 days 00:01:59.447879,2048,0.3597998710048963,0.0037195497132662806,COMPLETE
7,7,0.2978196271658091,2024-04-16 22:32:36.750506,2024-04-16 22:34:42.435404,0 days 00:02:05.684898,2048,0.6352804555405002,0.0031632859892724214,COMPLETE
8,8,0.41346452254489635,2024-04-16 22:34:42.436400,2024-04-16 22:36:29.121230,0 days 00:01:46.684830,1024,0.05,0.00535878815455263,COMPLETE
9,9,0.5692172028516908,2024-04-16 22:36:29.123230,2024-04-16 22:38:20.993321,0 days 00:01:51.870091,1536,0.05,0.004183840759290696,COMPLETE
10,10,2.162813235881313,2024-04-16 22:38:20.994319,2024-04-16 22:40:04.862215,0 days 00:01:43.867896,1024,0.3395193520481903,0.0038724700808559645,COMPLETE
11,11,1.6612769464940726,2024-04-16 22:40:04.863213,2024-04-16 22:41:44.871021,0 days 00:01:40.007808,1024,0.05,0.01724319404811409,COMPLETE
12,12,0.5587113388510078,2024-04-16 22:41:44.873019,2024-04-16 22:43:50.442020,0 days 00:02:05.569001,2048,0.5502253353938612,0.0010000000000000002,COMPLETE
13,13,3.9191357653137624,2024-04-16 22:43:50.442020,2024-04-16 22:45:33.258723,0 days 00:01:42.816703,1536,0.95,0.0010000000000000002,COMPLETE
14,14,0.15028162810463452,2024-04-16 22:45:33.260722,2024-04-16 22:47:34.892438,0 days 00:02:01.631716,2048,0.05,0.0011392740460364835,COMPLETE
