,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_W,params_coef,params_initialization,params_lr,state
34,34,14.700358080783433,2024-04-04 11:36:17.417980,2024-04-04 11:36:25.570500,0 days 00:00:08.152520,4,1024,64,0.6660711411943346,normal,0.09799624506495361,PRUNED
35,35,4.489959726023301,2024-04-04 11:36:25.571501,2024-04-04 11:41:34.179261,0 days 00:05:08.607760,8,2048,64,0.48958791165905924,xavier,0.003954863722573618,COMPLETE
36,36,1.2598875028916021,2024-04-04 11:41:34.180262,2024-04-04 11:46:39.926297,0 days 00:05:05.746035,8,3072,64,0.4565110592608358,xavier,0.003465146407398075,COMPLETE
37,37,0.5653810795479981,2024-04-04 11:46:39.928299,2024-04-04 11:51:43.552142,0 days 00:05:03.623843,8,3072,96,0.44780734431756136,xavier,0.001278953579566715,COMPLETE
38,38,54.306992254738894,2024-04-04 11:51:43.555144,2024-04-04 11:51:53.921172,0 days 00:00:10.366028,8,3584,96,0.4533825747319341,xavier,0.0010897610578262324,PRUNED
39,39,54.30524269385246,2024-04-04 11:51:53.922174,2024-04-04 11:52:04.123987,0 days 00:00:10.201813,8,4096,96,0.4056301667719508,xavier,0.000306621809617798,PRUNED
40,40,10.940013785295209,2024-04-04 11:52:04.123987,2024-04-04 11:57:12.221527,0 days 00:05:08.097540,8,3072,128,0.4801318037558354,xavier,0.0034290160397249993,COMPLETE
41,41,0.8421624322608134,2024-04-04 11:57:12.222528,2024-04-04 12:02:15.716738,0 days 00:05:03.494210,8,2560,96,0.35903893462571723,xavier,0.001568646655731898,COMPLETE
42,42,54.315749199061166,2024-04-04 12:02:15.717739,2024-04-04 12:02:26.016161,0 days 00:00:10.298422,8,3584,96,0.2967555061067476,xavier,0.0015897099461660835,PRUNED
43,43,54.30647864671599,2024-04-04 12:02:26.017162,2024-04-04 12:02:36.193725,0 days 00:00:10.176563,8,3072,96,0.3835551446384978,xavier,0.0007384712736536262,PRUNED
44,44,54.28925273510763,2024-04-04 12:02:36.194726,2024-04-04 12:02:46.748568,0 days 00:00:10.553842,8,4608,96,0.526146913691329,xavier,0.00026063792139682915,PRUNED
45,45,0.8741475690301406,2024-04-04 12:02:46.749568,2024-04-04 12:07:46.568597,0 days 00:04:59.819029,8,2560,64,0.450276044693376,default,0.0013901470172701259,COMPLETE
46,46,1.0827827510831922,2024-04-04 12:07:46.569598,2024-04-04 12:12:58.621434,0 days 00:05:12.051836,8,5120,96,0.4367103160690038,default,0.0016127155409936316,COMPLETE
47,47,12.725475374180082,2024-04-04 12:12:58.622434,2024-04-04 12:13:09.258285,0 days 00:00:10.635851,8,5632,128,0.30342408859089615,default,0.0017261437553745223,PRUNED
48,48,13.49917436638041,2024-04-04 12:13:09.259286,2024-04-04 12:13:19.908169,0 days 00:00:10.648883,8,5120,96,0.4417079043989462,default,0.001344719112219711,PRUNED
49,49,9.960639193878427,2024-04-04 12:13:19.910171,2024-04-04 12:18:22.452140,0 days 00:05:02.541969,8,4096,96,0.33972693174285873,default,0.0008811663991133528,COMPLETE
50,50,8.17332689552833,2024-04-04 12:18:22.454142,2024-04-04 12:24:03.900386,0 days 00:05:41.446244,8,8192,96,0.24404141616145572,default,0.0024817353144969217,COMPLETE
