,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_W,params_coef,params_initialization,params_lr,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,system_attrs_completed_rung_7,system_attrs_completed_rung_8,state
64,64,18.827082576654362,2024-04-04 05:52:25.224517,2024-04-04 05:52:34.506973,0 days 00:00:09.282456,4,4096,32,0.5692645948152981,kaiming,0.41790291438338584,18.827082576654362,18.827082576654362,,,,,,,,PRUNED
65,65,18.850388453658066,2024-04-04 05:52:34.507974,2024-04-04 05:52:40.076016,0 days 00:00:05.568042,2,3584,96,0.4688737309356004,zeros,0.6842228198100601,18.850388453658066,,,,,,,,,PRUNED
66,66,18.84248733813493,2024-04-04 05:52:40.077016,2024-04-04 05:52:49.215322,0 days 00:00:09.138306,6,1024,64,0.671376286521769,xavier,0.9891828167874094,18.84248733813493,18.84248733813493,,,,,,,,PRUNED
67,67,22.076570146961497,2024-04-04 05:52:49.217324,2024-04-04 05:52:57.236630,0 days 00:00:08.019306,4,7168,32,0.7101348053336084,default,0.026606143342041713,22.076570146961497,,,,,,,,,PRUNED
68,68,18.830297632164154,2024-04-04 05:52:57.238632,2024-04-04 05:53:03.901671,0 days 00:00:06.663039,2,7680,64,0.6293703849446657,zeros,0.3242255180669744,18.830297632164154,18.830297632164154,,,,,,,,PRUNED
69,69,18.826884332762482,2024-04-04 05:53:03.902689,2024-04-04 05:53:14.411221,0 days 00:00:10.508532,8,4608,32,0.5872933747619887,eye,0.14012339779410027,18.826884332762482,18.826884332762482,18.826884332762482,,,,,,,PRUNED
70,70,19.050197362426836,2024-04-04 05:53:14.412222,2024-04-04 05:53:20.991220,0 days 00:00:06.578998,4,5120,128,0.7997951715553753,zeros,0.01419434028250909,19.050197362426836,,,,,,,,,PRUNED
71,71,18.89677605210536,2024-04-04 05:53:20.992221,2024-04-04 05:53:27.591215,0 days 00:00:06.598994,4,4608,128,0.7362618258990137,kaiming,0.45854211373059767,18.89677605210536,,,,,,,,,PRUNED
72,72,18.996289297309037,2024-04-04 05:53:27.592216,2024-04-04 05:53:34.230234,0 days 00:00:06.638018,4,5120,128,0.7839430197303414,kaiming,0.23493889883008087,18.996289297309037,,,,,,,,,PRUNED
73,73,22.084006061173817,2024-04-04 05:53:34.231235,2024-04-04 05:53:40.734163,0 days 00:00:06.502928,4,4608,128,0.7611395047640408,kaiming,0.000202907030233476,22.084006061173817,,,,,,,,,PRUNED
74,74,54.30872031064722,2024-04-04 05:53:40.735164,2024-04-04 05:53:47.487301,0 days 00:00:06.752137,4,4096,128,0.09692332561893652,kaiming,0.2658324875153773,54.30872031064722,,,,,,,,,PRUNED
75,75,22.268118578086558,2024-04-04 05:53:47.488302,2024-04-04 05:53:55.236344,0 days 00:00:07.748042,6,5632,128,0.687383256437387,zeros,0.0020302444345537984,22.268118578086558,,,,,,,,,PRUNED
76,76,18.828013518683083,2024-04-04 05:53:55.237345,2024-04-04 05:54:01.912411,0 days 00:00:06.675066,2,3584,96,0.5506239289556583,kaiming,0.19849548289736452,18.828013518683083,18.828013518683083,18.828013518683083,,,,,,,PRUNED
77,77,18.827351517261743,2024-04-04 05:54:01.913412,2024-04-04 05:54:08.481381,0 days 00:00:06.567969,4,6144,128,0.6017022070325805,zeros,0.09204391345577742,18.827351517261743,18.827351517261743,18.827351517261743,,,,,,,PRUNED
78,78,19.354469250255917,2024-04-04 05:54:08.482383,2024-04-04 05:54:18.457448,0 days 00:00:09.975065,6,2048,32,0.8511519140399225,xavier,0.7518287869460071,19.354469250255917,,,,,,,,,PRUNED
79,79,20.983885333618336,2024-04-04 05:54:18.458449,2024-04-04 05:54:25.542869,0 days 00:00:07.084420,2,6656,64,0.6418385160301678,normal,0.04993918338647524,20.983885333618336,,,,,,,,,PRUNED
80,80,18.844854582509793,2024-04-04 05:54:25.544873,2024-04-04 05:54:32.101812,0 days 00:00:06.556939,4,4096,96,0.42216682846624387,zeros,0.33701300462281925,18.844854582509793,,,,,,,,,PRUNED
81,81,19.52337846223216,2024-04-04 05:54:32.102813,2024-04-04 05:54:38.342469,0 days 00:00:06.239656,2,5632,64,0.9462396980269665,zeros,0.0692990561717024,19.52337846223216,,,,,,,,,PRUNED
82,82,20.248940624674308,2024-04-04 05:54:38.343470,2024-04-04 05:54:44.197805,0 days 00:00:05.854335,2,6144,64,0.915104158770683,zeros,0.5709106313687357,20.248940624674308,,,,,,,,,PRUNED
83,83,18.81886742336568,2024-04-04 05:54:44.198806,2024-04-04 05:54:51.267230,0 days 00:00:07.068424,2,5120,64,0.5121721513467152,zeros,0.13271881838851518,18.81886742336568,18.81886742336568,18.81886742336568,,,,,,,PRUNED
84,84,18.650259722761273,2024-04-04 05:54:51.269218,2024-04-04 05:54:57.311710,0 days 00:00:06.042492,2,6656,64,0.7456527468708949,zeros,0.06323000317831694,18.650259722761273,18.650259722761273,18.650259722761273,,,,,,,PRUNED
85,85,18.829705571212056,2024-04-04 05:54:57.312711,2024-04-04 05:55:04.773506,0 days 00:00:07.460795,2,4608,32,0.53005471319472,default,0.18512767889847442,18.829705571212056,18.829705571212056,,,,,,,,PRUNED
86,86,18.840499812907566,2024-04-04 05:55:04.774492,2024-04-04 05:55:13.008975,0 days 00:00:08.234483,6,4608,64,0.6667324327567367,zeros,0.09696226738162424,18.840499812907566,18.840499812907566,,,,,,,,PRUNED
87,87,19.174179324180855,2024-04-04 05:55:13.009977,2024-04-04 05:55:20.234558,0 days 00:00:07.224581,4,3072,96,0.8258153843833899,xavier,0.5096139203208536,19.174179324180855,,,,,,,,,PRUNED
88,88,22.235575411912663,2024-04-04 05:55:20.234558,2024-04-04 05:55:27.425079,0 days 00:00:07.190521,2,5632,32,0.7011500490857829,normal,0.04999348082022945,22.235575411912663,,,,,,,,,PRUNED
89,89,18.82728823856381,2024-04-04 05:55:27.427080,2024-04-04 05:55:35.629163,0 days 00:00:08.202083,4,7168,64,0.600504578934471,zeros,0.33657820330857835,18.82728823856381,18.82728823856381,,,,,,,,PRUNED
90,90,18.834848280123644,2024-04-04 05:55:35.630164,2024-04-04 05:59:33.614747,0 days 00:03:57.984583,6,5120,128,0.46344671234273116,zeros,0.1277419117317459,18.829686331349674,18.829686331349674,18.829686331349674,18.838231822552192,18.8382326217565,18.838233032210272,,,,COMPLETE
91,91,18.834078242283603,2024-04-04 05:59:33.615749,2024-04-04 05:59:41.628049,0 days 00:00:08.012300,6,5120,128,0.4924964011687535,zeros,0.25450683778009264,18.834078242283603,,,,,,,,,PRUNED
92,92,18.827382342100876,2024-04-04 05:59:41.629050,2024-04-04 05:59:49.511195,0 days 00:00:07.882145,6,5120,128,0.55736111954876,zeros,0.11729486529175936,18.827382342100876,18.827382342100876,,,,,,,,PRUNED
93,93,18.82912199630462,2024-04-04 05:59:49.512196,2024-04-04 05:59:57.584551,0 days 00:00:08.072355,6,5120,128,0.6213589061277353,zeros,0.02824988858905864,18.82912199630462,18.82912199630462,,,,,,,,PRUNED
94,94,23.486288731573705,2024-04-04 05:59:57.585552,2024-04-04 06:00:06.365739,0 days 00:00:08.780187,6,7680,128,0.4694101171457812,eye,0.08038302359726178,23.486288731573705,,,,,,,,,PRUNED
95,95,18.81831404036361,2024-04-04 06:00:06.367741,2024-04-04 06:00:14.327994,0 days 00:00:07.960253,6,6144,128,0.3929208823377509,zeros,0.15103691041403708,18.81831404036361,18.81831404036361,18.81831404036361,,,,,,,PRUNED
96,96,18.82700475737293,2024-04-04 06:00:14.328994,2024-04-04 06:00:22.165113,0 days 00:00:07.836119,2,4096,32,0.5719503666390081,zeros,0.8078025158267019,18.82700475737293,18.82700475737293,18.82700475737293,,,,,,,PRUNED
97,97,18.665581273596395,2024-04-04 06:00:22.166114,2024-04-04 06:00:30.072303,0 days 00:00:07.906189,6,5632,128,0.6411242957398625,normal,0.04414373476273284,18.665581273596395,18.665581273596395,18.665581273596395,,,,,,,PRUNED
98,98,18.81340389744001,2024-04-04 06:00:30.073304,2024-04-04 06:00:37.109680,0 days 00:00:07.036376,4,4608,96,0.5459399150326967,xavier,0.6306211776673156,18.81340389744001,18.81340389744001,18.81340389744001,,,,,,,PRUNED
99,99,18.839235935251708,2024-04-04 06:00:37.110681,2024-04-04 06:00:45.445274,0 days 00:00:08.334593,4,3584,32,0.45689773642645576,kaiming,0.41771468843705734,18.839235935251708,,,,,,,,,PRUNED
