,number,value,datetime_start,datetime_complete,duration,params_NF,params_coef,params_lr,state
0,0,0.94241804784501,2024-04-16 19:41:55.752035,2024-04-16 19:43:04.249396,0 days 00:01:08.497361,1536,0.24344066534380682,0.018930556719432376,COMPLETE
1,1,1.2824252079383822,2024-04-16 19:43:04.251993,2024-04-16 19:44:12.896416,0 days 00:01:08.644423,1536,0.2628563597406133,0.002137369213200958,COMPLETE
2,2,1.6777969872543526,2024-04-16 19:44:12.898416,2024-04-16 19:45:18.279808,0 days 00:01:05.381392,1024,0.328550151672515,0.0017308304291418595,COMPLETE
3,3,0.12259608092943129,2024-04-16 19:45:18.280807,2024-04-16 19:46:35.023407,0 days 00:01:16.742600,2048,0.27047208750246554,0.024559203979853464,COMPLETE
4,4,0.4193724411925442,2024-04-16 19:46:35.025407,2024-04-16 19:47:41.686543,0 days 00:01:06.661136,1536,0.26113188994408576,0.0016049534937953539,COMPLETE
5,5,3.2694474890229244,2024-04-16 19:47:41.688544,2024-04-16 19:48:59.431087,0 days 00:01:17.742543,2048,0.05,0.0010000000000000002,COMPLETE
6,6,0.20685088586715566,2024-04-16 19:48:59.433087,2024-04-16 19:50:07.806752,0 days 00:01:08.373665,1536,0.49827168541426536,0.0010000000000000002,COMPLETE
7,7,21.15515440511628,2024-04-16 19:50:07.808748,2024-04-16 19:51:24.660021,0 days 00:01:16.851273,2048,0.31100896623537455,0.07169304057224497,COMPLETE
8,8,0.24723331552974057,2024-04-16 19:51:24.661018,2024-04-16 19:52:38.823634,0 days 00:01:14.162616,2048,0.95,0.01204471922391495,COMPLETE
9,9,1.934053664793963,2024-04-16 19:52:38.825634,2024-04-16 19:53:55.306815,0 days 00:01:16.481181,2048,0.95,0.0015440864777865565,COMPLETE
10,10,0.46369705416207146,2024-04-16 19:53:55.308815,2024-04-16 19:55:17.646188,0 days 00:01:22.337373,2048,0.05,0.015103949364512486,COMPLETE
11,11,1.4225719301930757,2024-04-16 19:55:17.648183,2024-04-16 19:56:29.180254,0 days 00:01:11.532071,2048,0.95,0.019120895338449337,COMPLETE
12,12,3.651158718855418,2024-04-16 19:56:29.181253,2024-04-16 19:57:30.380086,0 days 00:01:01.198833,1024,0.95,0.0010000000000000002,COMPLETE
13,13,0.9269708937162986,2024-04-16 19:57:30.381085,2024-04-16 19:58:42.006656,0 days 00:01:11.625571,2048,0.44323792383056576,0.017225460980893306,COMPLETE
14,14,1.1837913258601394,2024-04-16 19:58:42.008655,2024-04-16 19:59:59.348113,0 days 00:01:17.339458,2048,0.9499999999999998,0.005584637294656618,COMPLETE
