,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_W,params_coef,params_initialization,params_lr,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,system_attrs_completed_rung_7,system_attrs_completed_rung_8,state
19,19,24.22671874773504,2024-04-04 06:31:23.218513,2024-04-04 06:31:29.660382,0 days 00:00:06.441869,2,4096,96,0.6658607796082427,xavier,0.00011583450334550621,24.22671874773504,,,,,,,,,PRUNED
20,20,52.31398825289651,2024-04-04 06:31:29.661383,2024-04-04 06:31:37.007045,0 days 00:00:07.345662,4,5120,64,0.18181705405185314,xavier,0.6834420218522194,52.31398825289651,,,,,,,,,PRUNED
21,21,22.82533620854891,2024-04-04 06:31:37.008046,2024-04-04 06:31:44.959287,0 days 00:00:07.951241,6,4096,64,0.05448671159004307,zeros,0.00023397964281610033,22.82533620854891,,,,,,,,,PRUNED
22,22,22.260269289678323,2024-04-04 06:31:44.961273,2024-04-04 06:31:52.825422,0 days 00:00:07.864149,6,3584,64,0.1424003311713799,zeros,0.00021854244401318983,22.260269289678323,,,,,,,,,PRUNED
23,23,23.1184996652584,2024-04-04 06:31:52.827424,2024-04-04 06:32:01.353172,0 days 00:00:08.525748,6,6656,96,0.3383051273464246,zeros,0.00011744729438281815,23.1184996652584,,,,,,,,,PRUNED
24,24,21.488554413275523,2024-04-04 06:32:01.354173,2024-04-04 06:32:10.614607,0 days 00:00:09.260434,6,4608,32,0.3060427997569753,zeros,0.0003900857866711739,21.488554413275523,,,,,,,,,PRUNED
25,25,11.512379163974948,2024-04-04 06:32:10.615608,2024-04-04 06:33:43.701758,0 days 00:01:33.086150,4,5120,64,0.13155240021617076,eye,0.001063034714674057,15.895054144817614,15.895054144817614,15.895054144817614,15.895054144817614,15.895054144817614,11.784289557129089,11.313686094214928,11.512379163974948,,PRUNED
26,26,13.10634924395193,2024-04-04 06:33:43.702760,2024-04-04 06:33:51.768156,0 days 00:00:08.065396,6,3072,96,0.24375197665798037,kaiming,0.00020010031280270823,13.10634924395193,13.10634924395193,,,,,,,,PRUNED
27,27,11.15622009307204,2024-04-04 06:33:51.769157,2024-04-04 06:33:59.035779,0 days 00:00:07.266622,4,3584,64,0.12159832367685848,default,0.0018420979366624746,11.15622009307204,11.15622009307204,,,,,,,,PRUNED
28,28,22.39884463926718,2024-04-04 06:33:59.036780,2024-04-04 06:34:06.092189,0 days 00:00:07.055409,2,5632,32,0.4285546455176938,zeros,0.0004699594178172489,22.39884463926718,,,,,,,,,PRUNED
29,29,55.01955442285319,2024-04-04 06:34:06.093175,2024-04-04 06:34:16.638777,0 days 00:00:10.545602,8,3072,96,0.2911768969935997,eye,0.025600715225023874,55.01955442285319,,,,,,,,,PRUNED
30,30,23.525346141598853,2024-04-04 06:34:16.639778,2024-04-04 06:34:23.729746,0 days 00:00:07.089968,4,4096,64,0.589328270323516,xavier,0.00016245226006906665,23.525346141598853,,,,,,,,,PRUNED
31,31,9.243450498404261,2024-04-04 06:34:23.730747,2024-04-04 06:34:32.704904,0 days 00:00:08.974157,4,1536,128,0.9445371080871224,xavier,0.005154721872755433,9.243450498404261,9.243450498404261,,,,,,,,PRUNED
32,32,8.014515265833706,2024-04-04 06:34:32.705905,2024-04-04 06:34:41.160588,0 days 00:00:08.454683,4,1536,128,0.8194225524739807,xavier,0.003166484791115223,8.014515265833706,8.014515265833706,8.014515265833706,,,,,,,PRUNED
33,33,23.816438388364922,2024-04-04 06:34:41.161589,2024-04-04 06:36:34.326742,0 days 00:01:53.165153,6,2048,128,0.6879640847966064,xavier,0.004888587454158949,6.9722936993660305,6.9722936993660305,6.9722936993660305,6.9722936993660305,6.9722936993660305,7.130683909178727,6.693589096946275,23.816438388364922,,PRUNED
34,34,21.62578118241974,2024-04-04 06:36:34.327758,2024-04-04 06:36:41.699461,0 days 00:00:07.371703,2,2560,64,0.8014150116769927,xavier,0.00033102039927057056,21.62578118241974,,,,,,,,,PRUNED
35,35,26.0799775909072,2024-04-04 06:36:41.700445,2024-04-04 06:36:49.820842,0 days 00:00:08.120397,6,8192,96,0.9020492178299477,normal,0.027587439835321057,26.0799775909072,,,,,,,,,PRUNED
36,36,10.84547132844528,2024-04-04 06:36:49.821843,2024-04-04 06:36:58.071341,0 days 00:00:08.249498,4,1024,128,0.7013331171813812,kaiming,0.000811899397209611,10.84547132844528,10.84547132844528,,,,,,,,PRUNED
37,37,6.818434499479602,2024-04-04 06:36:58.072342,2024-04-04 06:37:07.944294,0 days 00:00:09.871952,8,6656,64,0.5663856831827565,xavier,0.007890219627083509,6.818434499479602,6.818434499479602,6.818434499479602,,,,,,,PRUNED
38,38,24.397014114604296,2024-04-04 06:37:07.945295,2024-04-04 06:37:14.311082,0 days 00:00:06.365787,2,2560,32,0.09589588167612079,normal,0.002173994569806491,24.397014114604296,,,,,,,,,PRUNED
39,39,52.612721336951054,2024-04-04 06:37:14.312082,2024-04-04 06:37:22.264310,0 days 00:00:07.952228,4,4608,96,0.18970169994655423,xavier,0.04751588818237497,52.612721336951054,,,,,,,,,PRUNED
40,40,65.567455523825,2024-04-04 06:37:22.265311,2024-04-04 06:37:30.299628,0 days 00:00:08.034317,6,5632,64,0.8722032325690411,eye,0.21268312767792116,65.567455523825,,,,,,,,,PRUNED
41,41,44.608205180854036,2024-04-04 06:37:30.300629,2024-04-04 06:37:40.154569,0 days 00:00:09.853940,8,7680,64,0.7357557922441467,normal,0.00681278925786713,44.608205180854036,,,,,,,,,PRUNED
42,42,53.07976262920869,2024-04-04 06:37:40.155570,2024-04-04 06:37:50.068581,0 days 00:00:09.913011,8,8192,64,0.8021634169236806,normal,0.011593524092129735,53.07976262920869,,,,,,,,,PRUNED
43,43,27.874020208402577,2024-04-04 06:37:50.069582,2024-04-04 06:38:00.388978,0 days 00:00:10.319396,8,7680,32,0.9057341369725233,normal,0.003269536432921185,27.874020208402577,,,,,,,,,PRUNED
44,44,16.195838585761045,2024-04-04 06:38:00.389979,2024-04-04 06:42:58.519936,0 days 00:04:58.129957,8,7168,64,0.6169210587568028,default,0.00012948949143783028,22.486640309110022,22.486640309110022,22.486640309110022,22.202463705765908,28.219514227646414,19.381664799958262,,,,COMPLETE
45,45,21.58147990653327,2024-04-04 06:42:58.520936,2024-04-04 06:43:08.950398,0 days 00:00:10.429462,8,6656,64,0.6101830134063917,default,0.00015484626833481036,21.58147990653327,,,,,,,,,PRUNED
46,46,24.05852794911477,2024-04-04 06:43:08.951399,2024-04-04 06:43:15.534540,0 days 00:00:06.583141,4,7168,96,0.5177541091870188,default,0.00010795290699044691,24.05852794911477,,,,,,,,,PRUNED
47,47,20.092642990063716,2024-04-04 06:43:15.535541,2024-04-04 06:43:22.301691,0 days 00:00:06.766150,2,6144,128,0.44709168727674536,default,0.0002914976379939983,20.092642990063716,,,,,,,,,PRUNED
48,48,23.123259321610256,2024-04-04 06:43:22.302692,2024-04-04 06:43:30.681324,0 days 00:00:08.378632,6,7168,64,0.8423490441216974,default,0.00016172558163495704,23.123259321610256,,,,,,,,,PRUNED
49,49,19.657168174698718,2024-04-04 06:43:30.682325,2024-04-04 06:43:39.918701,0 days 00:00:09.236376,4,5120,32,0.6556965708222939,kaiming,0.000716264920586531,19.657168174698718,,,,,,,,,PRUNED
50,50,16.377797907849892,2024-04-04 06:43:39.919702,2024-04-04 06:43:45.605103,0 days 00:00:05.685401,2,3072,96,0.5357024127209414,xavier,0.000427633881508952,16.377797907849892,,,,,,,,,PRUNED
51,51,24.066483437219716,2024-04-04 06:43:45.607104,2024-04-04 06:43:55.481730,0 days 00:00:09.874626,8,8192,64,0.7773512258984899,zeros,0.00024303754259570175,24.066483437219716,,,,,,,,,PRUNED
52,52,47.75484686641708,2024-04-04 06:43:55.483711,2024-04-04 06:44:07.357519,0 days 00:00:11.873808,8,512,64,0.7218758617844772,normal,0.0011423989129852215,47.75484686641708,,,,,,,,,PRUNED
53,53,24.772690000317148,2024-04-04 06:44:07.358521,2024-04-04 06:44:17.539770,0 days 00:00:10.181249,8,7680,64,0.7711067170789747,xavier,0.00010468931027106955,24.772690000317148,,,,,,,,,PRUNED
54,54,24.394587133396897,2024-04-04 06:44:17.540771,2024-04-04 06:44:27.490817,0 days 00:00:09.950046,8,7168,64,0.8637375038994367,zeros,0.0005595805803736509,24.394587133396897,,,,,,,,,PRUNED
55,55,21.683193681771236,2024-04-04 06:44:27.491819,2024-04-04 06:44:35.410015,0 days 00:00:07.918196,6,3584,64,0.9162476804298095,default,0.0001570270999766625,21.683193681771236,21.683193681771236,,,,,,,,PRUNED
56,56,20.185606901632326,2024-04-04 06:44:35.411016,2024-04-04 06:44:42.769685,0 days 00:00:07.358669,4,4096,64,0.6468275452961656,xavier,0.00031747300845690686,20.185606901632326,,,,,,,,,PRUNED
57,57,62.257009604688434,2024-04-04 06:44:42.770685,2024-04-04 06:44:50.858055,0 days 00:00:08.087370,6,4608,128,0.8404385000851,zeros,0.001501056748993323,62.257009604688434,,,,,,,,,PRUNED
58,58,6.629620566192042,2024-04-04 06:44:50.859056,2024-04-04 06:45:00.145479,0 days 00:00:09.286423,8,6144,96,0.17272297424986183,xavier,0.0025502440136805178,6.629620566192042,6.629620566192042,6.629620566192042,6.629620566192042,,,,,,PRUNED
59,59,11.325380605351313,2024-04-04 06:45:00.147480,2024-04-04 06:45:06.942655,0 days 00:00:06.795175,4,5632,64,0.0863596277174585,eye,0.019466161799746255,11.325380605351313,11.325380605351313,,,,,,,,PRUNED
60,60,56.277869657333866,2024-04-04 06:45:06.943656,2024-04-04 06:45:15.334297,0 days 00:00:08.390641,2,3584,96,0.48408581803288103,normal,0.7536268696223425,56.277869657333866,,,,,,,,,PRUNED
61,61,23.27926654477745,2024-04-04 06:45:15.335298,2024-04-04 06:45:24.891970,0 days 00:00:09.556672,8,5120,128,0.39021939625765656,eye,0.00019537451577512612,23.27926654477745,,,,,,,,,PRUNED
62,62,53.83536015163458,2024-04-04 06:45:24.892970,2024-04-04 06:45:34.549765,0 days 00:00:09.656795,8,4096,128,0.23006599147486356,eye,0.004231037354352712,53.83536015163458,,,,,,,,,PRUNED
63,63,54.942193134143196,2024-04-04 06:45:34.550762,2024-04-04 06:45:44.092437,0 days 00:00:09.541675,8,1024,128,0.28602951329073506,eye,0.006396878820317272,54.942193134143196,,,,,,,,,PRUNED
64,64,11.364466944439002,2024-04-04 06:45:44.093438,2024-04-04 06:45:52.405975,0 days 00:00:08.312537,6,3584,128,0.39261887336156975,kaiming,0.009388384576794789,11.364466944439002,11.364466944439002,,,,,,,,PRUNED
65,65,8.230174341760563,2024-04-04 06:45:52.408978,2024-04-04 06:46:01.981696,0 days 00:00:09.572718,8,3072,64,0.16138587843597038,xavier,0.0014699684721297878,8.230174341760563,8.230174341760563,,,,,,,,PRUNED
66,66,22.93989233121051,2024-04-04 06:46:01.982697,2024-04-04 06:46:08.821894,0 days 00:00:06.839197,4,4608,128,0.0534775280282086,zeros,0.00013438677420231961,22.93989233121051,,,,,,,,,PRUNED
67,67,58.2679630919185,2024-04-04 06:46:08.823896,2024-04-04 06:46:18.055286,0 days 00:00:09.231390,8,2560,96,0.11678058872361706,default,0.06944641422798291,58.2679630919185,,,,,,,,,PRUNED
68,68,11.280844517140338,2024-04-04 06:46:18.056287,2024-04-04 06:46:28.326547,0 days 00:00:10.270260,6,1024,64,0.3484536131239033,xavier,0.003610384103701752,11.280844517140338,11.280844517140338,,,,,,,,PRUNED
69,69,22.32219872629654,2024-04-04 06:46:28.327548,2024-04-04 06:46:37.625446,0 days 00:00:09.297898,4,4096,32,0.21343500940298393,eye,0.00022533197913174059,22.32219872629654,,,,,,,,,PRUNED
70,70,16.459286823576843,2024-04-04 06:46:37.626447,2024-04-04 06:46:43.578858,0 days 00:00:05.952411,2,2048,96,0.814639177444378,xavier,0.0009899765304895555,16.459286823576843,16.459286823576843,,,,,,,,PRUNED
71,71,55.93738506814891,2024-04-04 06:46:43.579859,2024-04-04 06:46:50.412067,0 days 00:00:06.832208,4,6656,128,0.7066712299579913,zeros,0.01772078031640961,55.93738506814891,,,,,,,,,PRUNED
72,72,56.03357038375793,2024-04-04 06:46:50.413068,2024-04-04 06:46:57.249300,0 days 00:00:06.836232,4,5632,128,0.7477281513000259,zeros,0.03155230063347876,56.03357038375793,,,,,,,,,PRUNED
73,73,55.98398301743803,2024-04-04 06:46:57.251302,2024-04-04 06:47:03.790244,0 days 00:00:06.538942,4,6144,128,0.6767728882713588,zeros,0.015475423903826642,55.98398301743803,,,,,,,,,PRUNED
74,74,56.1394972494127,2024-04-04 06:47:03.792231,2024-04-04 06:47:10.904708,0 days 00:00:07.112477,4,7680,128,0.6148937643663874,zeros,0.01148162769094328,56.1394972494127,,,,,,,,,PRUNED
75,75,36.94895082364333,2024-04-04 06:47:10.905708,2024-04-04 06:47:18.907967,0 days 00:00:08.002259,6,4608,128,0.7857269686018735,normal,0.005675118521057215,36.94895082364333,,,,,,,,,PRUNED
76,76,66.97774914462852,2024-04-04 06:47:18.908968,2024-04-04 06:47:28.899047,0 days 00:00:09.990079,8,6656,64,0.8837993353136635,xavier,0.25808187788835496,66.97774914462852,,,,,,,,,PRUNED
77,77,26.560077463587994,2024-04-04 06:47:28.900048,2024-04-04 06:47:35.741265,0 days 00:00:06.841217,4,7168,128,0.8380973882792817,default,0.00035408626075523656,26.560077463587994,,,,,,,,,PRUNED
78,78,22.645056157288206,2024-04-04 06:47:35.742281,2024-04-04 06:47:42.214148,0 days 00:00:06.471867,2,6144,64,0.9491029609855959,zeros,0.0026671150561595434,22.645056157288206,,,,,,,,,PRUNED
79,79,12.320282615951896,2024-04-04 06:47:42.215149,2024-04-04 06:47:48.664010,0 days 00:00:06.448861,4,5120,64,0.9207645862289701,xavier,0.007767455868648304,12.320282615951896,12.320282615951896,,,,,,,,PRUNED
80,80,16.502773631526814,2024-04-04 06:47:48.665011,2024-04-04 06:47:57.061657,0 days 00:00:08.396646,6,4096,96,0.5504142845814539,kaiming,0.0001303541699714441,16.502773631526814,,,,,,,,,PRUNED
81,81,11.278915375656691,2024-04-04 06:47:57.062658,2024-04-04 06:48:03.801783,0 days 00:00:06.739125,4,5120,64,0.14118996404501408,eye,0.004493984598081989,11.278915375656691,11.278915375656691,,,,,,,,PRUNED
82,82,22.08033641288271,2024-04-04 06:48:03.802784,2024-04-04 06:48:10.520893,0 days 00:00:06.718109,4,5120,64,0.08661298224973606,eye,0.00018369909000795048,22.08033641288271,,,,,,,,,PRUNED
83,83,6.523595363952058,2024-04-04 06:48:10.521894,2024-04-04 06:51:55.831626,0 days 00:03:45.309732,4,4608,64,0.11447000492149978,eye,0.002001019047848534,7.708894422482556,7.708894422482556,7.708894422482556,7.708894422482556,6.531867995490679,6.523987511157342,6.529872522734846,,,COMPLETE
84,84,11.793175122669995,2024-04-04 06:51:55.832627,2024-04-04 06:52:02.542724,0 days 00:00:06.710097,4,5632,64,0.11555800332518501,eye,0.0020391233942523186,11.793175122669995,11.793175122669995,,,,,,,,PRUNED
85,85,20.991919972579517,2024-04-04 06:52:02.543725,2024-04-04 06:52:11.887236,0 days 00:00:09.343511,8,4608,64,0.2626634606853995,eye,0.00026694030506313417,20.991919972579517,,,,,,,,,PRUNED
86,86,22.20571284040725,2024-04-04 06:52:11.888237,2024-04-04 06:52:18.740447,0 days 00:00:06.852210,2,7168,64,0.2019363292529711,normal,0.0005974020683870237,22.20571284040725,,,,,,,,,PRUNED
87,87,13.131373954952931,2024-04-04 06:52:18.741448,2024-04-04 06:52:26.495495,0 days 00:00:07.754047,4,4096,64,0.8880761544335993,xavier,0.0036915403425403963,13.131373954952931,13.131373954952931,,,,,,,,PRUNED
88,88,21.998780557878256,2024-04-04 06:52:26.496496,2024-04-04 06:52:35.797948,0 days 00:00:09.301452,4,3584,64,0.5796611755316329,default,0.00010263943037192492,21.998780557878256,,,,,,,,,PRUNED
89,89,56.05361791436136,2024-04-04 06:52:35.798949,2024-04-04 06:52:44.270665,0 days 00:00:08.471716,6,4608,128,0.7615244498425826,zeros,0.009034301392407998,56.05361791436136,,,,,,,,,PRUNED
90,90,61.35707277436966,2024-04-04 06:52:44.271666,2024-04-04 06:52:54.648083,0 days 00:00:10.376417,8,7680,32,0.16376129161457922,eye,0.03431451569046882,61.35707277436966,,,,,,,,,PRUNED
91,91,12.639041991045257,2024-04-04 06:52:54.650084,2024-04-04 06:53:01.747534,0 days 00:00:07.097450,4,4608,64,0.09723442913993578,eye,0.0016222290687074967,12.639041991045257,12.639041991045257,,,,,,,,PRUNED
92,92,11.571298771575925,2024-04-04 06:53:01.748535,2024-04-04 06:53:09.528624,0 days 00:00:07.780089,4,8192,64,0.13017824432247324,eye,0.0025859254535541784,11.571298771575925,11.571298771575925,,,,,,,,PRUNED
93,93,22.824579471240288,2024-04-04 06:53:09.529625,2024-04-04 06:53:16.345801,0 days 00:00:06.816176,4,6144,64,0.06355576046827999,normal,0.0008429656361169454,22.824579471240288,,,,,,,,,PRUNED
94,94,20.343992386547175,2024-04-04 06:53:16.347803,2024-04-04 06:53:22.966837,0 days 00:00:06.619034,4,5120,64,0.7298323790982733,eye,0.002132795510839192,20.343992386547175,,,,,,,,,PRUNED
95,95,16.447102691183357,2024-04-04 06:53:22.967838,2024-04-04 06:53:29.801048,0 days 00:00:06.833210,4,5632,64,0.15063345748602827,xavier,0.00014509429592199136,16.447102691183357,,,,,,,,,PRUNED
96,96,21.728090417252126,2024-04-04 06:53:29.802049,2024-04-04 06:53:39.098480,0 days 00:00:09.296431,8,3584,64,0.8602246027465831,eye,0.0005014887348770893,21.728090417252126,,,,,,,,,PRUNED
97,97,10.89456638580433,2024-04-04 06:53:39.099481,2024-04-04 06:53:46.788487,0 days 00:00:07.689006,4,4096,128,0.446467356514756,default,0.0028791079399432926,10.89456638580433,10.89456638580433,10.89456638580433,,,,,,,PRUNED
98,98,6.631472250456426,2024-04-04 06:53:46.789471,2024-04-04 06:53:53.112752,0 days 00:00:06.323281,2,3072,96,0.07433209849833888,xavier,0.0012367318691062618,6.631472250456426,6.631472250456426,6.631472250456426,,,,,,,PRUNED
99,99,56.081719832165945,2024-04-04 06:53:53.113761,2024-04-04 06:54:02.555333,0 days 00:00:09.441572,8,2048,64,0.6374458411528454,zeros,0.005471194990191403,56.081719832165945,,,,,,,,,PRUNED
