,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_W,params_coef,params_initialization,params_lr,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,system_attrs_completed_rung_7,system_attrs_completed_rung_8,state
0,0,55.941042559175756,2024-04-04 06:00:45.492446,2024-04-04 06:05:46.191783,0 days 00:05:00.699337,8,3584,128,0.384985157251073,eye,0.0032961270336147814,55.9502963239646,55.9502963239646,55.9502963239646,55.9502963239646,55.9502963239646,55.950287074990136,55.91833585344453,56.04841507566331,,COMPLETE
1,1,16.91541716930604,2024-04-04 06:05:46.193767,2024-04-04 06:10:50.175041,0 days 00:05:03.981274,8,7680,64,0.7709901291163737,normal,0.004877020120394502,52.68722130465892,52.68722130465892,52.68722130465892,52.68722130465892,52.68722130465892,52.68722130465892,57.654616183235255,56.69840078387123,28.418915933040704,COMPLETE
2,2,63.306213075709735,2024-04-04 06:10:50.176041,2024-04-04 06:10:58.120262,0 days 00:00:07.944221,6,3072,64,0.6288925282243422,xavier,0.08464520018381592,63.306213075709735,,,,,,,,,PRUNED
3,3,15.229832445452129,2024-04-04 06:10:58.121263,2024-04-04 06:15:18.796680,0 days 00:04:20.675417,4,512,128,0.8272363100065871,xavier,0.0034936805466882982,11.500469842879351,11.500469842879351,11.500469842879351,11.500469842879351,11.500469842879351,11.500469842879351,11.204064983647335,11.340195056568074,17.204327733668407,COMPLETE
4,4,63.7876278702915,2024-04-04 06:15:18.798682,2024-04-04 06:15:31.543280,0 days 00:00:12.744598,2,2560,32,0.23403737970850108,kaiming,0.09994917128203229,6.597203918665945,6.597203918665945,6.597203918665945,6.597203918665945,6.597203918665945,6.597203918665945,63.7876278702915,,,PRUNED
5,5,65.41998026999644,2024-04-04 06:15:31.544281,2024-04-04 06:15:42.179456,0 days 00:00:10.635175,8,7168,128,0.3897897547282703,normal,0.23936366681084154,65.41998026999644,,,,,,,,,PRUNED
6,6,12.918525294162365,2024-04-04 06:15:42.180457,2024-04-04 06:15:50.164700,0 days 00:00:07.984243,4,512,96,0.5587614011760449,kaiming,0.0006631865699841708,12.918525294162365,,,,,,,,,PRUNED
7,7,37.53145170194699,2024-04-04 06:15:50.165701,2024-04-04 06:16:00.034670,0 days 00:00:09.868969,8,7680,32,0.8833578494661469,normal,0.013607433196221909,37.53145170194699,,,,,,,,,PRUNED
8,8,26.15959132647251,2024-04-04 06:16:00.035671,2024-04-04 06:16:09.804567,0 days 00:00:09.768896,6,1536,32,0.4997638065456784,eye,0.09883063434069134,26.15959132647251,,,,,,,,,PRUNED
9,9,11.75462416181399,2024-04-04 06:16:09.806551,2024-04-04 06:16:16.765875,0 days 00:00:06.959324,4,5632,128,0.47408326808469586,default,0.001659563467263445,11.75462416181399,,,,,,,,,PRUNED
10,10,6.531680184038318,2024-04-04 06:16:16.767877,2024-04-04 06:19:33.850571,0 days 00:03:17.082694,2,5120,96,0.9031016197252534,xavier,0.00019754835028236163,22.006564915953476,22.006564915953476,22.006564915953476,22.006564915953476,21.580220611364993,17.33478185675451,8.238275834737989,,,COMPLETE
11,11,25.47564460659261,2024-04-04 06:19:33.852573,2024-04-04 06:19:40.709787,0 days 00:00:06.857214,2,4608,96,0.9399410341858611,xavier,0.000272843870920177,25.47564460659261,,,,,,,,,PRUNED
12,12,22.50834918819187,2024-04-04 06:19:40.710788,2024-04-04 06:19:47.871314,0 days 00:00:07.160526,2,5120,96,0.7569679536125016,xavier,0.00010820494574946686,22.50834918819187,,,,,,,,,PRUNED
13,13,56.11144192586454,2024-04-04 06:19:47.872315,2024-04-04 06:23:01.956916,0 days 00:03:14.084601,4,6144,128,0.7510584489236156,zeros,0.017231718838112323,56.06281958599591,56.06281958599591,56.06281958599591,56.062816065717755,56.06282386193694,56.00844118780569,,,,COMPLETE
14,14,20.38562854865716,2024-04-04 06:23:01.957917,2024-04-04 06:23:08.587927,0 days 00:00:06.630010,2,512,96,0.8518473572797395,xavier,0.0006592504292278959,20.38562854865716,,,,,,,,,PRUNED
15,15,6.527553454967807,2024-04-04 06:23:08.588929,2024-04-04 06:27:13.575323,0 days 00:04:04.986394,4,4096,64,0.11552531502653413,xavier,0.00010055901164629203,17.582715495813886,17.582715495813886,13.243039665922446,9.302139573324208,6.5417490836364225,,,,,COMPLETE
16,16,6.603422950749785,2024-04-04 06:27:13.577311,2024-04-04 06:31:09.290869,0 days 00:03:55.713558,6,4096,64,0.09014176251840714,zeros,0.00015840953287286913,22.853944786032184,22.853944786032184,22.853944786032184,22.853944786032184,22.853944786032184,22.87791798066802,22.71824723943333,9.223597772410596,,COMPLETE
17,17,15.488183553037352,2024-04-04 06:31:09.291870,2024-04-04 06:31:15.222245,0 days 00:00:05.930375,2,6144,64,0.06823947590379216,default,0.00046326274136229944,15.488183553037352,,,,,,,,,PRUNED
18,18,8.723426525769248,2024-04-04 06:31:15.223246,2024-04-04 06:31:23.217512,0 days 00:00:07.994266,4,2048,64,0.23172485233574552,xavier,0.0011529201570074255,8.723426525769248,8.723426525769248,,,,,,,,PRUNED
