,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_N_I,params_N_LB,params_N_RB,params_W,params_coef,params_initialization,params_lr,params_sampling,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,system_attrs_completed_rung_7,state
12,12,208.63021840843587,2024-04-02 13:40:13.612944,2024-04-02 13:40:28.270893,0 days 00:00:14.657949,8,131,114,63,23,32,0.700638270758646,kaiming,7.16755137943229e-05,grid,208.63021840843587,,,,,,,,PRUNED
13,13,7.417342104545365,2024-04-02 13:40:28.271895,2024-04-02 13:41:50.585817,0 days 00:01:22.313922,4,1945,110,43,181,48,0.5330024547534753,kaiming,0.00021636702072347241,grid,12.025862370240885,12.025862370240885,12.025862370240885,12.025862370240885,12.654910691427654,8.790153551507801,,,COMPLETE
14,14,18.753943458429063,2024-04-02 13:41:50.587820,2024-04-02 13:41:59.062272,0 days 00:00:08.474452,4,2059,123,42,208,64,0.499449272451618,kaiming,0.0003141227422879016,grid,18.753943458429063,18.753943458429063,,,,,,,PRUNED
15,15,97.92167084274725,2024-04-02 13:41:59.063273,2024-04-02 13:42:04.227240,0 days 00:00:05.163967,2,2202,109,140,183,48,0.8206519307627776,orthogonal,0.0002300216421268297,grid,97.92167084274725,,,,,,,,PRUNED
16,16,74.3068380986124,2024-04-02 13:42:04.228241,2024-04-02 13:42:12.625050,0 days 00:00:08.396809,4,2647,80,132,243,64,0.4834749903547181,default,0.003498355743712567,grid,74.3068380986124,,,,,,,,PRUNED
17,17,75.667077387437,2024-04-02 13:42:12.626051,2024-04-02 13:42:23.979722,0 days 00:00:11.353671,6,5118,114,42,158,32,0.7923503592400776,kaiming,0.0001408457995601285,grid,75.667077387437,,,,,,,,PRUNED
18,18,4.404726433036306,2024-04-02 13:42:23.980722,2024-04-02 13:43:15.135936,0 days 00:00:51.155214,2,1492,103,250,98,48,0.0701866814030156,kaiming,0.002507729253027938,random,10.832700516601468,10.832700516601468,10.832700516601468,10.832700516601468,10.832700516601468,8.322694191600274,6.1994219627749665,,COMPLETE
19,19,3.7683958256866434,2024-04-02 13:43:15.137939,2024-04-02 13:44:06.197584,0 days 00:00:51.059645,2,1660,102,243,204,48,0.059407345010099824,kaiming,0.004271946092624394,random,7.982383127811144,7.982383127811144,7.982383127811144,7.982383127811144,6.4478995492984215,6.245400235035566,,,COMPLETE
20,20,4.689884214558899,2024-04-02 13:44:06.198584,2024-04-02 13:44:56.355181,0 days 00:00:50.156597,2,767,79,237,212,48,0.06559511652677966,default,0.0055090244448059685,random,7.170548379228751,7.170548379228751,7.170548379228751,7.170548379228751,7.170548379228751,7.170548379228751,5.604264204434699,6.66518108480697,COMPLETE
21,21,15.908993307230638,2024-04-02 13:44:56.356182,2024-04-02 13:45:01.531633,0 days 00:00:05.175451,2,781,76,250,210,48,0.054433510176622645,default,0.005057426805081314,random,15.908993307230638,15.908993307230638,,,,,,,PRUNED
22,22,5.693131660745033,2024-04-02 13:45:01.532633,2024-04-02 13:45:52.954016,0 days 00:00:51.421383,2,1394,99,248,213,48,0.05213828345459197,default,0.0073635327195933535,random,8.741842071875368,8.741842071875368,8.741842071875368,8.741842071875368,8.741842071875368,5.609023249972003,4.207878246186227,,COMPLETE
23,23,238.90603564323968,2024-04-02 13:45:52.955018,2024-04-02 13:46:43.260904,0 days 00:00:50.305886,2,882,81,221,245,48,0.14450769916834166,default,0.09067583171583964,random,46.62178837420583,46.62178837420583,46.62178837420583,42.127563596232115,238.41894067248563,,,,COMPLETE
24,24,39.71090404086412,2024-04-02 13:46:43.261904,2024-04-02 13:46:48.504040,0 days 00:00:05.242136,2,328,64,230,154,32,0.11547505181806253,orthogonal,0.0008000612903918648,random,39.71090404086412,,,,,,,,PRUNED
25,25,25.531056395665612,2024-04-02 13:46:48.506042,2024-04-02 13:46:53.648815,0 days 00:00:05.142773,2,623,102,197,106,48,0.21773379256308306,eye,0.00203534743836636,random,25.531056395665612,,,,,,,,PRUNED
26,26,14.127115772782465,2024-04-02 13:46:53.650817,2024-04-02 13:46:58.835196,0 days 00:00:05.184379,2,1031,87,234,198,48,0.10328517123514697,xavier,0.011587955060772197,random,14.127115772782465,14.127115772782465,,,,,,,PRUNED
27,27,226.13576021168828,2024-04-02 13:46:58.836196,2024-04-02 13:47:04.022143,0 days 00:00:05.185947,2,1537,67,148,227,32,0.3948834064346453,normal,0.0006655172615456648,random,226.13576021168828,,,,,,,,PRUNED
28,28,250.89355871959694,2024-04-02 13:47:04.023144,2024-04-02 13:47:09.258959,0 days 00:00:05.235815,2,2876,42,236,61,48,0.21917536297953558,default,0.1560003979458218,random,250.89355871959694,,,,,,,,PRUNED
29,29,7.417928706623349,2024-04-02 13:47:09.259960,2024-04-02 13:47:25.815036,0 days 00:00:16.555076,4,3436,85,213,145,48,0.2770062381891132,kaiming,0.007617782517535968,random,6.254683320233778,6.254683320233778,6.254683320233778,6.254683320233778,6.254683320233778,6.254683320233778,7.417928706623349,,PRUNED
30,30,13.0435879166959,2024-04-02 13:47:25.817037,2024-04-02 13:47:30.962612,0 days 00:00:05.145575,2,1724,97,196,194,32,0.09994046769713841,kaiming,0.0033535145907244153,random,13.0435879166959,13.0435879166959,,,,,,,PRUNED
31,31,15.054526909807743,2024-04-02 13:47:30.963613,2024-04-02 13:47:36.168559,0 days 00:00:05.204946,2,1244,102,246,219,48,0.05037795516456295,default,0.011418814167480593,random,15.054526909807743,15.054526909807743,,,,,,,PRUNED
32,32,7.470773979310223,2024-04-02 13:47:36.169559,2024-04-02 13:47:41.434165,0 days 00:00:05.264606,2,1563,104,225,234,48,0.05522658872857418,default,0.027709442942182347,random,7.470773979310223,7.470773979310223,,,,,,,PRUNED
33,33,14.93258118659993,2024-04-02 13:47:41.436166,2024-04-02 13:47:46.603704,0 days 00:00:05.167538,2,851,95,163,172,48,0.1548262023489726,default,0.006927463407109402,random,14.93258118659993,14.93258118659993,,,,,,,PRUNED
34,34,9.355816051949024,2024-04-02 13:47:46.604705,2024-04-02 13:47:51.779781,0 days 00:00:05.175076,2,1261,91,203,199,48,0.20253291253366018,default,0.01336483831494292,random,9.355816051949024,9.355816051949024,,,,,,,PRUNED
35,35,7.528676663677705,2024-04-02 13:47:51.780782,2024-04-02 13:48:00.296180,0 days 00:00:08.515398,4,2366,120,246,112,48,0.09336151412307364,xavier,0.00122796945645502,random,7.528676663677705,7.528676663677705,,,,,,,PRUNED
36,36,16.815795282262975,2024-04-02 13:48:00.297182,2024-04-02 13:48:05.460955,0 days 00:00:05.163773,2,965,71,237,224,48,0.29761122659489975,kaiming,0.05035190550269385,random,16.815795282262975,,,,,,,,PRUNED
37,37,10.658526305138832,2024-04-02 13:48:05.461956,2024-04-02 13:48:10.625218,0 days 00:00:05.163262,2,1708,56,215,215,48,0.15333487179367528,eye,0.0022245147502776516,random,10.658526305138832,10.658526305138832,,,,,,,PRUNED
38,38,1856.1347891204518,2024-04-02 13:48:10.627221,2024-04-02 13:48:19.037252,0 days 00:00:08.410031,4,3135,94,181,144,64,0.3627762515115679,normal,0.0038446952623968516,random,1856.1347891204518,,,,,,,,PRUNED
39,39,9.567815042011624,2024-04-02 13:48:19.038253,2024-04-02 13:48:24.251713,0 days 00:00:05.213460,2,1174,82,164,250,48,0.21762209909224878,xavier,0.020519838600225788,random,9.567815042011624,9.567815042011624,,,,,,,PRUNED
40,40,21.350304789218523,2024-04-02 13:48:24.252714,2024-04-02 13:48:29.480642,0 days 00:00:05.227928,2,619,90,110,168,64,0.25179772368654096,kaiming,0.0004827691828280745,random,21.350304789218523,,,,,,,,PRUNED
41,41,94.74625108781385,2024-04-02 13:48:29.481643,2024-04-02 13:48:37.898201,0 days 00:00:08.416558,4,1822,108,224,196,48,0.5391522053462025,kaiming,6.9492900094366e-05,random,94.74625108781385,,,,,,,,PRUNED
42,42,20.41329186936646,2024-04-02 13:48:37.899202,2024-04-02 13:48:49.478024,0 days 00:00:11.578822,6,1357,119,250,184,48,0.44447799008264843,kaiming,0.005623886937793836,random,20.41329186936646,,,,,,,,PRUNED
43,43,5.803064196868931,2024-04-02 13:48:49.480026,2024-04-02 13:50:12.429367,0 days 00:01:22.949341,4,4097,111,90,236,48,0.5926982907011649,kaiming,0.0012955782660564953,grid,23.006801120043917,23.006801120043917,23.006801120043917,14.078511493638638,7.797505796556892,,,,COMPLETE
44,44,26.779414733851453,2024-04-02 13:50:12.430368,2024-04-02 13:50:17.602066,0 days 00:00:05.171698,2,4057,99,88,229,48,0.6049172656274305,kaiming,0.0010504896156554562,random,26.779414733851453,,,,,,,,PRUNED
45,45,14.236028344740875,2024-04-02 13:50:17.603068,2024-04-02 13:50:29.121626,0 days 00:00:11.518558,6,4070,106,114,236,48,0.12266167160401242,default,0.0021840836162069026,grid,14.236028344740875,14.236028344740875,,,,,,,PRUNED
46,46,12.844292557668242,2024-04-02 13:50:29.122627,2024-04-02 13:50:37.413408,0 days 00:00:08.290781,4,2407,113,92,72,48,0.5739421503133887,kaiming,0.02078555573509755,grid,12.844292557668242,12.844292557668242,,,,,,,PRUNED
47,47,302.17927224130244,2024-04-02 13:50:37.415408,2024-04-02 13:50:51.582790,0 days 00:00:14.167382,8,480,118,205,208,48,0.7203699124183521,eye,0.0004111392908301599,random,302.17927224130244,,,,,,,,PRUNED
48,48,16.571895406520667,2024-04-02 13:50:51.586794,2024-04-02 13:50:56.747010,0 days 00:00:05.160216,2,360,101,58,113,48,0.18441792374154076,orthogonal,0.002429598992954055,grid,16.571895406520667,,,,,,,,PRUNED
49,49,245.5488869685146,2024-04-02 13:50:56.748011,2024-04-02 13:51:04.894166,0 days 00:00:08.146155,4,748,75,191,94,48,0.08309689283226417,normal,0.7605792033040019,random,245.5488869685146,,,,,,,,PRUNED
