,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_N_I,params_N_LB,params_N_RB,params_W,params_coef,params_initialization,params_lr,params_sampling,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,system_attrs_completed_rung_7,state
0,0,247.1170610726224,2024-04-02 13:29:33.187136,2024-04-02 13:32:07.483387,0 days 00:02:34.296251,8,4225,54,206,122,48,0.31150050689598896,kaiming,0.009835326180397008,grid,8.851652631912822,8.851652631912822,8.851652631912822,8.851652631912822,8.851652631912822,8.851652631912822,257.90108126303744,247.11655511470522,COMPLETE
1,1,246.6206640262583,2024-04-02 13:32:07.483387,2024-04-02 13:33:30.615053,0 days 00:01:23.131666,4,1303,72,176,231,64,0.1911952308642192,xavier,0.021759479369175654,grid,255.5054351792333,255.5054351792333,255.5054351792333,255.5054351792333,67.8694514272632,246.6210179079763,,,COMPLETE
2,2,259.1682078071105,2024-04-02 13:33:30.615053,2024-04-02 13:33:45.184611,0 days 00:00:14.569558,8,1997,91,212,159,32,0.931328280713225,kaiming,0.40480844823999457,random,259.1682078071105,,,,,,,,PRUNED
3,3,29.2519618802373,2024-04-02 13:33:45.184611,2024-04-02 13:33:50.334930,0 days 00:00:05.150319,2,234,94,95,128,64,0.31474684295097277,eye,0.0015984158423583807,random,29.2519618802373,,,,,,,,PRUNED
4,4,661.6903915124816,2024-04-02 13:33:50.335931,2024-04-02 13:33:55.512851,0 days 00:00:05.176920,2,1067,62,174,96,64,0.6951992687922528,xavier,0.47785084716086673,grid,661.6903915124816,,,,,,,,PRUNED
5,5,990.9532856650653,2024-04-02 13:33:55.513853,2024-04-02 13:34:07.066954,0 days 00:00:11.553101,6,3416,88,108,129,48,0.26357249523364623,normal,0.022519568785126714,random,990.9532856650653,,,,,,,,PRUNED
6,6,247.37082966312238,2024-04-02 13:34:07.067954,2024-04-02 13:35:59.125448,0 days 00:01:52.057494,6,375,50,184,177,64,0.16635650299120117,eye,0.036472537811956626,grid,247.37322537542462,247.37322537542462,247.37322537542462,247.37322537542462,247.37322537542462,240.70558577669064,247.35612021996144,,COMPLETE
7,7,315.5896800350711,2024-04-02 13:35:59.126448,2024-04-02 13:36:10.618836,0 days 00:00:11.492388,6,1082,99,70,63,48,0.37559386614593376,normal,0.0824347873163189,grid,315.5896800350711,,,,,,,,PRUNED
8,8,41.54535471244977,2024-04-02 13:36:10.619837,2024-04-02 13:38:34.318301,0 days 00:02:23.698464,8,700,107,75,130,48,0.634857340915676,kaiming,3.7394639270181104e-05,grid,191.71602819845455,191.71602819845455,191.71602819845455,191.71602819845455,191.71602819845455,89.78777614328101,44.43575186917839,,COMPLETE
9,9,12.627276543560747,2024-04-02 13:38:34.321302,2024-04-02 13:39:57.267626,0 days 00:01:22.946324,4,1387,115,35,95,64,0.841428296148628,kaiming,0.0015227048871464149,grid,25.149976677725906,25.149976677725906,25.149976677725906,25.149976677725906,25.149976677725906,17.658114797915328,13.00006312141727,,COMPLETE
10,10,85.61523005525397,2024-04-02 13:39:57.268627,2024-04-02 13:40:05.498406,0 days 00:00:08.229779,4,490,27,16,39,32,0.9359043240363261,orthogonal,0.000731224174020467,random,85.61523005525397,,,,,,,,PRUNED
11,11,293.8104767039295,2024-04-02 13:40:05.499407,2024-04-02 13:40:13.611943,0 days 00:00:08.112536,4,533,125,18,79,48,0.6557527252103503,default,1.332607658446573e-05,grid,293.8104767039295,,,,,,,,PRUNED
