,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_W,params_coef,params_initialization,params_lr,params_sampling,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,system_attrs_completed_rung_7,system_attrs_completed_rung_8,state
24,24,24.896004709998408,2024-04-02 03:56:44.896149,2024-04-02 03:57:00.349497,0 days 00:00:15.453348,6,1536,96,0.8531969157670523,eye,0.00030193504629156566,random,24.896004709998408,,,,,,,,,PRUNED
25,25,25.158744946042614,2024-04-02 03:57:00.351499,2024-04-02 03:57:12.536207,0 days 00:00:12.184708,4,3072,64,0.731236298811073,normal,0.006325343558880705,random,25.158744946042614,,,,,,,,,PRUNED
26,26,35.61613196645983,2024-04-02 03:57:12.538209,2024-04-02 03:57:21.474241,0 days 00:00:08.936032,2,6656,32,0.6074558175721818,eye,0.1761115654399583,random,35.61613196645983,,,,,,,,,PRUNED
27,27,33.657314526166736,2024-04-02 03:57:21.475242,2024-04-02 03:57:34.590116,0 days 00:00:13.114874,4,8704,96,0.44597286199201425,eye,0.007908639708783487,random,33.657314526166736,,,,,,,,,PRUNED
28,28,25.580490872755973,2024-04-02 03:57:34.592118,2024-04-02 03:57:50.480302,0 days 00:00:15.888184,6,2048,128,0.308815750670973,zeros,3.382079942070312e-05,grid,25.580490872755973,,,,,,,,,PRUNED
29,29,19.17384787878113,2024-04-02 03:57:50.481359,2024-04-02 03:57:59.586784,0 days 00:00:09.105425,2,3584,64,0.16660575016382628,normal,0.002325198888144867,grid,19.17384787878113,19.17384787878113,,,,,,,,PRUNED
30,30,24.740893355550302,2024-04-02 03:57:59.587785,2024-04-02 03:58:08.769330,0 days 00:00:09.181545,2,7680,96,0.4882361833275134,eye,0.0004231825279055136,random,24.740893355550302,,,,,,,,,PRUNED
31,31,26.1244859925502,2024-04-02 03:58:08.771330,2024-04-02 04:02:53.406305,0 days 00:04:44.634975,8,1536,96,0.22111876907386,zeros,0.7526082083140399,random,29.66725105380903,29.66725105380903,29.66725105380903,29.66725105380903,29.67464090701586,29.674669871797818,,,,COMPLETE
32,32,28.61781852742711,2024-04-02 04:02:53.407306,2024-04-02 04:07:35.345129,0 days 00:04:41.937823,8,512,96,0.1745486366112784,zeros,0.3463890227686618,random,28.61786639707479,28.61786639707479,28.61786639707479,28.61786639707479,28.61786639707479,28.617866422834574,28.61786971975738,,,COMPLETE
33,33,35.077412839732915,2024-04-02 04:07:35.346130,2024-04-02 04:07:53.983240,0 days 00:00:18.637110,8,1536,96,0.558999744231907,zeros,0.0029496143392811003,random,35.077412839732915,,,,,,,,,PRUNED
34,34,36.35108375299056,2024-04-02 04:07:53.984292,2024-04-02 04:08:13.235653,0 days 00:00:19.251361,8,2048,64,0.6773019401847501,zeros,0.03947780784348057,random,36.35108375299056,,,,,,,,,PRUNED
35,35,25.97240564403025,2024-04-02 04:08:13.237655,2024-04-02 04:08:29.356297,0 days 00:00:16.118642,6,4608,96,0.05746950034130252,zeros,0.14865146371193133,random,25.97240564403025,,,,,,,,,PRUNED
36,36,33.689684679210316,2024-04-02 04:08:29.359299,2024-04-02 04:08:41.534948,0 days 00:00:12.175649,4,1024,96,0.44830960874636583,zeros,0.25706427492003814,random,33.689684679210316,,,,,,,,,PRUNED
37,37,22.12307196186232,2024-04-02 04:08:41.535949,2024-04-02 04:08:53.969166,0 days 00:00:12.433217,4,5632,128,0.6457677650360307,eye,0.001324506044567562,random,22.12307196186232,22.12307196186232,,,,,,,,PRUNED
38,38,32.44626657363366,2024-04-02 04:08:53.970167,2024-04-02 04:09:12.617089,0 days 00:00:18.646922,8,3072,64,0.36572463247456527,zeros,0.06391561917404956,random,32.44626657363366,,,,,,,,,PRUNED
39,39,78.89370724750572,2024-04-02 04:09:12.618089,2024-04-02 04:09:28.600575,0 days 00:00:15.982486,6,4096,96,0.14707831480667116,normal,0.00013435743543827096,grid,78.89370724750572,,,,,,,,,PRUNED
40,40,34.4694029442733,2024-04-02 04:09:28.601575,2024-04-02 04:12:33.536336,0 days 00:03:04.934761,4,6656,64,0.5079281579498062,eye,0.8978124041558111,random,34.46940270845589,34.469403062182934,33.88420372482053,,,,,,,COMPLETE
41,41,29.579269578488805,2024-04-02 04:12:33.537337,2024-04-02 04:12:51.909097,0 days 00:00:18.371760,8,512,96,0.21679013045215706,zeros,0.3712885259621152,random,29.579269578488805,,,,,,,,,PRUNED
42,42,27.29584278459983,2024-04-02 04:12:51.910098,2024-04-02 04:13:10.629642,0 days 00:00:18.719544,8,1024,96,0.11835704804755862,zeros,0.4328217153146268,random,27.29584278459983,,,,,,,,,PRUNED
43,43,29.996457616659875,2024-04-02 04:13:10.630643,2024-04-02 04:13:30.409461,0 days 00:00:19.778818,8,2048,96,0.235950732067814,zeros,0.10179097609831578,random,29.996457616659875,,,,,,,,,PRUNED
44,44,31.376123843040126,2024-04-02 04:13:30.409461,2024-04-02 04:13:49.092298,0 days 00:00:18.682837,8,512,96,0.30468207427429206,zeros,0.02112704262056867,random,31.376123843040126,,,,,,,,,PRUNED
45,45,28.92374636959419,2024-04-02 04:13:49.092298,2024-04-02 04:14:07.475173,0 days 00:00:18.382875,8,1024,64,0.18777001940132004,zeros,0.9807193497866914,random,28.92374636959419,,,,,,,,,PRUNED
46,46,68.19824559035607,2024-04-02 04:14:07.475173,2024-04-02 04:14:22.780899,0 days 00:00:15.305726,6,1536,128,0.12519054242079908,normal,0.004217281544323008,grid,68.19824559035607,,,,,,,,,PRUNED
47,47,18.40566786379647,2024-04-02 04:14:22.780899,2024-04-02 04:14:34.724550,0 days 00:00:11.943651,4,2048,96,0.43078070199684837,normal,0.007733755732187708,random,18.40566786379647,18.40566786379647,18.40566786379647,,,,,,,PRUNED
48,48,57.10648396654662,2024-04-02 04:14:34.724550,2024-04-02 04:14:50.230281,0 days 00:00:15.505731,6,3072,64,0.580983467600643,eye,0.2541173146568621,grid,57.10648396654662,,,,,,,,,PRUNED
49,49,47.61752739978784,2024-04-02 04:14:50.230281,2024-04-02 04:14:59.124058,0 days 00:00:08.893777,2,10240,32,0.08672019010573859,zeros,0.0004227939921142945,random,47.61752739978784,,,,,,,,,PRUNED
