,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_N_I,params_N_LB,params_N_RB,params_W,params_coef,params_initialization,params_lr,params_sampling,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,system_attrs_completed_rung_7,state
0,0,137.43216760616468,2024-04-02 13:51:05.469496,2024-04-02 13:51:57.596182,0 days 00:00:52.126686,2,731,122,93,26,32,0.2748029423851242,normal,2.6816443245148076e-05,grid,1437.9841148659184,1437.9841148659184,1437.9841148659184,1437.9841148659184,1437.9841148659184,1437.9841148659184,1067.803572944335,161.07255093845671,COMPLETE
1,1,1609.4012128908314,2024-04-02 13:51:57.598183,2024-04-02 13:52:40.340727,0 days 00:00:42.742544,4,196,151,84,167,32,0.4503016794363046,kaiming,0.3668075374107298,grid,219.0443927427535,219.0443927427535,219.0443927427535,219.0443927427535,219.0443927427535,219.0443927427535,219.04801760443627,1609.4012128908314,PRUNED
2,2,219.06107797706667,2024-04-02 13:52:40.341729,2024-04-02 13:52:55.640757,0 days 00:00:15.299028,8,818,168,66,202,48,0.7546058935897965,eye,0.7701684964744189,grid,219.06107797706667,,,,,,,,PRUNED
3,3,6.519857405006675,2024-04-02 13:52:55.642758,2024-04-02 13:54:56.588395,0 days 00:02:00.945637,6,2486,255,81,64,64,0.4389168239824715,orthogonal,0.00014032659690962643,random,116.86268898721983,116.86268898721983,116.86268898721983,116.86268898721983,116.86268898721983,113.95846530790928,12.42716952388806,,COMPLETE
4,4,520.2046471330527,2024-04-02 13:54:56.589395,2024-04-02 13:55:47.883874,0 days 00:00:51.294479,2,1827,65,225,72,32,0.6839244622407811,normal,1.9687325653593277e-05,grid,2427.0066765084302,2427.0066765084302,2427.0066765084302,2427.0066765084302,2345.4478555165656,1624.9316960365186,,,COMPLETE
5,5,202.82133549510343,2024-04-02 13:55:47.885876,2024-04-02 13:56:14.081571,0 days 00:00:26.195695,2,740,226,184,134,32,0.1919228220792119,eye,3.973429952388256e-05,grid,209.48711802269688,209.48711802269688,209.48711802269688,209.48711802269688,209.48711802269688,209.48711802269688,211.4619949117583,202.82133549510343,PRUNED
6,6,1959.7612533229458,2024-04-02 13:56:14.082572,2024-04-02 13:56:25.921559,0 days 00:00:11.838987,6,882,216,29,128,32,0.29848450130413795,normal,0.0013028510382247327,random,1959.7612533229458,,,,,,,,PRUNED
7,7,221.03273636248406,2024-04-02 13:56:25.923561,2024-04-02 13:56:34.567417,0 days 00:00:08.643856,4,4459,113,213,162,48,0.5609848058053827,normal,0.010663644910832023,random,221.03273636248406,,,,,,,,PRUNED
8,8,24.13323459602105,2024-04-02 13:56:34.569419,2024-04-02 13:59:00.030676,0 days 00:02:25.461257,8,482,166,65,120,48,0.4228134115581828,default,0.0002069983887528058,random,110.11100375665056,110.11100375665056,110.11100375665056,110.11100375665056,110.11100375665056,110.11100375665056,108.40458765854059,68.08800109939736,COMPLETE
9,9,3.9647133602067677,2024-04-02 13:59:00.032771,2024-04-02 14:01:22.741545,0 days 00:02:22.708774,8,1210,206,187,188,32,0.8888558429990888,orthogonal,0.00012065879539444582,random,104.64492892428669,104.64492892428669,104.64492892428669,104.64492892428669,104.64492892428669,104.64492892428669,92.432387421916,5.258339504484682,COMPLETE
