,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_N_I,params_N_LB,params_N_RB,params_W,params_coef,params_initialization,params_lr,params_sampling,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,system_attrs_completed_rung_7,state
0,0,40.91490629347666,2024-04-02 12:00:01.361611,2024-04-02 12:02:38.370666,0 days 00:02:37.009055,8,711,47,153,83,48,0.2127340752208156,normal,0.42846309537087685,grid,40.91494692493883,40.91494692493883,40.91494692493883,40.91494692493883,40.91494692493883,40.914933374453916,40.91491983063319,,COMPLETE
1,1,40.925797802791024,2024-04-02 12:02:38.370666,2024-04-02 12:02:43.636929,0 days 00:00:05.266263,2,403,28,207,74,48,0.6866004019024958,default,0.521059965875963,grid,40.925797802791024,,,,,,,,PRUNED
2,2,13.43028610306943,2024-04-02 12:02:43.636929,2024-04-02 12:03:37.419318,0 days 00:00:53.782389,2,2112,50,31,97,64,0.7598905835368305,eye,0.00013051912086332244,grid,28.457367652312257,28.457367652312257,25.593299405873218,19.768311056356204,,,,,COMPLETE
3,3,27.717028377646905,2024-04-02 12:03:37.419318,2024-04-02 12:04:31.238079,0 days 00:00:53.818761,2,206,67,221,22,64,0.8570620372648803,xavier,0.007969077738458412,grid,16.830700910352636,16.830700910352636,16.830700910352636,16.830700910352636,13.162289154852951,10.901764116178088,,,COMPLETE
4,4,40.91514244960052,2024-04-02 12:04:31.238079,2024-04-02 12:05:57.582563,0 days 00:01:26.344484,4,205,42,144,238,64,0.49384180070564393,xavier,0.525236363082642,grid,40.91532045769492,40.91532045769492,40.91532045769492,40.91532045769492,40.91532045769492,40.91532045769492,40.915164639021874,40.941413372253216,COMPLETE
5,5,44.58391431250087,2024-04-02 12:05:57.582563,2024-04-02 12:06:09.998794,0 days 00:00:12.416231,6,1943,68,156,84,48,0.2648906159401563,normal,0.027740205729814938,random,44.58391431250087,,,,,,,,PRUNED
6,6,13.59126961253787,2024-04-02 12:06:09.998794,2024-04-02 12:07:02.430776,0 days 00:00:52.431982,2,3477,34,153,30,32,0.20676106834089153,xavier,0.0004037447163578869,grid,25.341158424860716,25.341158424860716,25.341158424860716,25.341158424860716,25.341158424860716,25.341158424860716,19.284682540890177,14.331826138276368,COMPLETE
7,7,40.912497987899414,2024-04-02 12:07:02.430776,2024-04-02 12:07:07.747586,0 days 00:00:05.316810,2,165,68,205,89,64,0.09946593399616621,kaiming,0.3563429822407532,random,40.912497987899414,,,,,,,,PRUNED
8,8,1724.7769135555411,2024-04-02 12:07:07.747586,2024-04-02 12:07:23.230480,0 days 00:00:15.482894,8,431,51,106,69,64,0.1659967397568489,normal,0.0009616984903009487,grid,1724.7769135555411,,,,,,,,PRUNED
9,9,2.868535281862675,2024-04-02 12:07:23.230480,2024-04-02 12:09:59.926904,0 days 00:02:36.696424,8,304,34,28,198,48,0.6152864463856772,orthogonal,0.0012152728709879561,grid,12.161957919447467,12.161957919447467,12.161957919447467,12.161957919447467,12.161957919447467,12.161957919447467,17.8300255670085,14.312445444870292,COMPLETE
10,10,37.12152920663142,2024-04-02 12:09:59.926904,2024-04-02 12:10:12.293179,0 days 00:00:12.366275,6,901,27,16,199,32,0.5159879145015629,orthogonal,4.819576056336401e-05,random,37.12152920663142,,,,,,,,PRUNED
11,11,49.66641378837694,2024-04-02 12:10:12.293179,2024-04-02 12:10:21.042962,0 days 00:00:08.749783,4,1756,56,12,157,48,0.9387594408696033,eye,1.4259444855522895e-05,grid,49.66641378837694,,,,,,,,PRUNED
12,12,1.129949602211783,2024-04-02 12:10:21.042962,2024-04-02 12:12:24.006895,0 days 00:02:02.963933,6,1720,39,66,137,32,0.730183006452961,orthogonal,0.00020356083244459005,grid,18.47715039470257,18.47715039470257,18.47715039470257,18.47715039470257,18.47715039470257,14.811758293785505,2.290146371328149,,COMPLETE
13,13,1.6891481065138474,2024-04-02 12:12:24.006895,2024-04-02 12:15:00.553113,0 days 00:02:36.546218,8,987,37,65,157,32,0.5680709925943992,orthogonal,0.0028630047877970773,grid,12.138244218170177,12.138244218170177,12.138244218170177,12.138244218170177,12.138244218170177,12.138244218170177,12.120665982107168,12.850762050464429,COMPLETE
14,14,32.68701166477846,2024-04-02 12:15:00.553113,2024-04-02 12:15:25.018546,0 days 00:00:24.465433,6,1026,40,74,144,32,0.3896222491308722,orthogonal,0.020178582277027568,random,12.693160210961143,12.693160210961143,12.693160210961143,12.693160210961143,12.693160210961143,32.68701166477846,,,PRUNED
15,15,13.58353671209673,2024-04-02 12:15:25.019275,2024-04-02 12:15:42.102199,0 days 00:00:17.082924,8,4390,37,70,182,32,0.5864813404010181,orthogonal,0.0036674518494882566,grid,13.58353671209673,13.58353671209673,,,,,,,PRUNED
16,16,21.614376773513506,2024-04-02 12:15:42.104201,2024-04-02 12:15:54.005086,0 days 00:00:11.900885,6,1367,58,87,130,32,0.7575805795213332,orthogonal,0.0001374549968580492,grid,21.614376773513506,,,,,,,,PRUNED
17,17,41.390731004882326,2024-04-02 12:15:54.007089,2024-04-02 12:16:02.763891,0 days 00:00:08.756802,4,2991,44,47,131,32,0.3873707521708665,default,0.058197062693260006,grid,41.390731004882326,,,,,,,,PRUNED
