,number,value,datetime_start,datetime_complete,duration,params_NF,params_coef,params_lr,state
0,0,0.005932224038991603,2024-04-16 21:18:51.088923,2024-04-16 21:20:42.392253,0 days 00:01:51.303330,2048,0.08633638313078953,0.0010340811819652238,COMPLETE
1,1,0.0983537249030838,2024-04-16 21:20:42.393253,2024-04-16 21:22:16.832480,0 days 00:01:34.439227,1536,0.6099185579024868,0.0014498823414198399,COMPLETE
2,2,0.008117264860231514,2024-04-16 21:22:16.832480,2024-04-16 21:23:51.206119,0 days 00:01:34.373639,1536,0.5028095529236638,0.004397128489838328,COMPLETE
3,3,0.005299505342406934,2024-04-16 21:23:51.207120,2024-04-16 21:25:25.611980,0 days 00:01:34.404860,1024,0.06875728545056617,0.019388840825541372,COMPLETE
4,4,0.02312007493731751,2024-04-16 21:25:25.611980,2024-04-16 21:26:59.965780,0 days 00:01:34.353800,1536,0.4404223564210736,0.007581527335781443,COMPLETE
5,5,0.004444135180435489,2024-04-16 21:26:59.967780,2024-04-16 21:28:51.722921,0 days 00:01:51.755141,2048,0.05,0.0032767876939023455,COMPLETE
6,6,0.023159861569574964,2024-04-16 21:28:51.722921,2024-04-16 21:30:26.213118,0 days 00:01:34.490197,1024,0.05,0.07793411253355476,COMPLETE
7,7,0.004279803812522775,2024-04-16 21:30:26.215118,2024-04-16 21:32:00.935490,0 days 00:01:34.720372,1024,0.05,0.0029678512076739376,COMPLETE
8,8,17.941771915450463,2024-04-16 21:32:00.936489,2024-04-16 21:33:44.263264,0 days 00:01:43.326775,1024,0.95,0.1,COMPLETE
9,9,0.020823253423167126,2024-04-16 21:33:44.265268,2024-04-16 21:35:38.571064,0 days 00:01:54.305796,2048,0.44117781402100276,0.0010000000000000002,COMPLETE
10,10,0.15672347750472793,2024-04-16 21:35:38.573063,2024-04-16 21:37:14.242235,0 days 00:01:35.669172,1024,0.4646463460293716,0.0010000000000000002,COMPLETE
11,11,11.800043896012902,2024-04-16 21:37:14.244235,2024-04-16 21:39:18.930633,0 days 00:02:04.686398,2048,0.26302448241444587,0.1,COMPLETE
12,12,0.05215771401204249,2024-04-16 21:39:18.932632,2024-04-16 21:41:11.075392,0 days 00:01:52.142760,2048,0.5889782830698684,0.1,COMPLETE
13,13,11.863205864742726,2024-04-16 21:41:11.077396,2024-04-16 21:43:09.905783,0 days 00:01:58.828387,2048,0.4769711692662218,0.1,COMPLETE
14,14,0.00854778800655742,2024-04-16 21:43:09.907781,2024-04-16 21:45:05.760958,0 days 00:01:55.853177,2048,0.6536233287503039,0.041026847519111016,COMPLETE
